iter	Logloss
0	0.6882666915
1	0.6820240401
2	0.6758198617
3	0.6709654139
4	0.6659442516
5	0.660368227
6	0.6557480817
7	0.6513099292
8	0.6471325901
9	0.6426250598
10	0.6388173917
11	0.6340761074
12	0.6305737643
13	0.6269917901
14	0.622897949
15	0.6193469025
16	0.6156151585
17	0.6121975922
18	0.6088004654
19	0.6054527988
20	0.603061067
21	0.6006161167
22	0.5975275375
23	0.594195989
24	0.5897790094
25	0.5871377555
26	0.5836125681
27	0.5815220676
28	0.5785950576
29	0.5759681682
30	0.573430803
31	0.5708656488
32	0.5680797717
33	0.5654947097
34	0.5636617177
35	0.5611438826
36	0.5587836335
37	0.5564441268
38	0.5549316518
39	0.5529929809
40	0.5503965542
41	0.5490330983
42	0.5475578115
43	0.5454067604
44	0.5440114495
45	0.5412397675
46	0.5382547659
47	0.5359667303
48	0.5344773481
49	0.5329286645
50	0.5306503472
51	0.5292094602
52	0.5275910903
53	0.525651931
54	0.5237883326
55	0.521803074
56	0.5205768649
57	0.5173073391
58	0.5158585236
59	0.5140947776
60	0.5116434705
61	0.5101292683
62	0.5082820232
63	0.5064183648
64	0.5053514988
65	0.5039864545
66	0.5022850591
67	0.5006743026
68	0.4988135576
69	0.4974616943
70	0.4960821296
71	0.4953658641
72	0.4934006529
73	0.4921470911
74	0.4903331224
75	0.4888976895
76	0.487813915
77	0.4862903814
78	0.4854461424
79	0.483407105
80	0.4818395477
81	0.4806052514
82	0.4790477071
83	0.4786048905
84	0.47665761
85	0.4756049998
86	0.4741677996
87	0.4730620903
88	0.4707586085
89	0.4692753408
90	0.4687093494
91	0.4677512801
92	0.4669239794
93	0.4656826474
94	0.464632372
95	0.4629827452
96	0.4615936345
97	0.4603604462
98	0.459335626
99	0.4582011385
100	0.4572384439
101	0.4558519005
102	0.4551678184
103	0.4544021528
104	0.4527018388
105	0.4513437306
106	0.450373305
107	0.448726114
108	0.4471635208
109	0.4464062523
110	0.4456580126
111	0.4448451787
112	0.4439368146
113	0.4427298331
114	0.4412583185
115	0.4399086492
116	0.4392045996
117	0.4375137208
118	0.4365960607
119	0.4354976859
120	0.4347780851
121	0.4337198822
122	0.4329726695
123	0.4318537156
124	0.4313643257
125	0.430224413
126	0.4296984173
127	0.4290447973
128	0.4276465572
129	0.4266697766
130	0.4259096185
131	0.4248276519
132	0.4235983182
133	0.4228768343
134	0.4218996771
135	0.4200317694
136	0.4193056439
137	0.4186628908
138	0.4176361844
139	0.4162595055
140	0.4155081139
141	0.4149544225
142	0.4138006701
143	0.4129473002
144	0.4120945801
145	0.4109616336
146	0.410376264
147	0.4099329163
