iter	Passed	Remaining
0	4	4706
1	10	5458
2	17	5653
3	21	5464
4	26	5296
5	31	5168
6	36	5113
7	41	5123
8	47	5192
9	51	5143
10	56	5086
11	61	5068
12	66	5080
13	71	5038
14	77	5056
15	81	5039
16	88	5110
17	96	5287
18	106	5501
19	113	5548
20	121	5678
21	130	5787
22	136	5777
23	142	5814
24	150	5857
25	155	5825
26	160	5778
27	164	5725
28	169	5676
29	174	5643
30	179	5611
31	184	5574
32	188	5536
33	193	5498
34	197	5458
35	202	5430
36	207	5401
37	211	5360
38	215	5314
39	219	5273
40	223	5234
41	228	5222
42	233	5190
43	237	5155
44	241	5121
45	245	5082
46	249	5048
47	252	5015
48	257	4992
49	261	4959
50	264	4927
51	268	4897
52	273	4884
53	277	4858
54	281	4837
55	288	4863
56	295	4890
57	300	4885
58	305	4878
59	310	4871
60	316	4874
61	321	4862
62	325	4842
63	329	4821
64	334	4807
65	338	4794
66	343	4778
67	347	4763
68	351	4745
69	355	4725
70	359	4706
71	364	4693
72	368	4683
73	373	4671
74	377	4655
75	381	4637
76	385	4623
77	390	4614
78	395	4610
79	400	4605
80	406	4616
81	415	4650
82	426	4708
83	432	4713
84	437	4705
85	442	4701
86	446	4690
87	451	4674
88	455	4660
89	459	4645
90	463	4633
91	469	4635
92	474	4625
93	480	4634
94	486	4633
95	492	4639
96	497	4627
97	501	4613
98	505	4599
99	509	4583
100	513	4567
101	517	4558
102	522	4551
103	526	4538
104	530	4524
105	534	4509
106	538	4495
107	542	4480
108	546	4466
109	550	4452
110	554	4439
111	558	4426
112	562	4414
113	566	4403
114	570	4389
115	574	4376
116	578	4364
117	582	4352
118	586	4340
119	590	4327
120	594	4316
121	598	4305
122	602	4294
123	606	4282
124	610	4272
125	614	4261
126	618	4249
127	622	4239
128	626	4229
129	630	4218
130	634	4210
131	641	4217
132	646	4213
133	651	4212
134	657	4214
135	663	4214
136	667	4205
137	672	4198
138	676	4188
139	680	4177
140	683	4166
141	687	4155
142	691	4142
143	695	4131
144	698	4119
145	702	4110
146	707	4106
147	711	4098
148	717	4095
149	721	4088
150	725	4081
151	729	4071
152	734	4067
153	739	4060
154	743	4052
155	747	4045
156	751	4035
157	755	4025
158	759	4015
159	762	4005
160	766	3995
161	770	3985
162	774	3974
163	777	3964
164	781	3954
165	785	3945
166	788	3935
167	792	3925
168	796	3915
169	800	3905
170	803	3895
171	807	3885
172	811	3877
173	814	3867
174	818	3858
175	822	3849
176	825	3840
177	829	3830
178	833	3821
179	837	3813
180	840	3805
181	845	3798
182	848	3789
183	852	3780
184	856	3773
185	860	3764
186	863	3755
187	867	3746
188	871	3738
189	874	3729
190	878	3720
191	882	3712
192	885	3704
193	891	3703
194	895	3697
195	899	3691
196	904	3684
197	908	3678
198	912	3672
199	917	3668
200	921	3663
201	925	3657
202	929	3650
203	933	3644
204	937	3637
205	942	3631
206	946	3624
207	950	3620
208	954	3613
209	959	3608
210	963	3603
211	967	3597
212	971	3591
213	975	3584
214	980	3578
215	984	3574
216	988	3567
217	992	3561
218	997	3555
219	1001	3551
220	1007	3551
221	1012	3548
222	1017	3544
223	1021	3540
224	1027	3539
225	1031	3533
226	1035	3526
227	1039	3521
228	1045	3520
229	1050	3516
230	1054	3511
231	1059	3506
232	1062	3498
233	1067	3494
234	1071	3488
235	1075	3481
236	1079	3474
237	1082	3467
238	1086	3459
239	1090	3452
240	1093	3445
241	1097	3438
242	1101	3430
243	1104	3423
244	1108	3416
245	1112	3409
246	1116	3404
247	1120	3397
248	1125	3393
249	1129	3387
250	1133	3382
251	1137	3376
252	1141	3369
253	1144	3362
254	1148	3356
255	1152	3349
256	1156	3342
257	1160	3336
258	1165	3333
259	1169	3327
260	1172	3321
261	1176	3314
262	1180	3307
263	1183	3300
264	1187	3292
265	1190	3285
266	1194	3278
267	1197	3271
268	1201	3265
269	1205	3258
270	1208	3251
271	1212	3245
272	1216	3238
273	1219	3231
274	1223	3225
275	1227	3218
276	1230	3212
277	1234	3205
278	1238	3199
279	1241	3193
280	1245	3186
281	1248	3179
282	1253	3174
283	1257	3169
284	1260	3163
285	1265	3160
286	1270	3155
287	1274	3150
288	1278	3146
289	1283	3142
290	1287	3137
291	1292	3133
292	1296	3127
293	1300	3122
294	1304	3116
295	1307	3110
296	1311	3104
297	1315	3099
298	1319	3093
299	1323	3087
300	1327	3081
301	1331	3076
302	1334	3070
303	1338	3064
304	1342	3058
305	1347	3056
306	1351	3051
307	1355	3046
308	1359	3039
309	1363	3034
310	1367	3029
311	1371	3023
312	1374	3017
313	1379	3012
314	1382	3006
315	1386	3001
316	1390	2996
317	1394	2991
318	1398	2985
319	1406	2988
320	1411	2985
321	1415	2980
322	1419	2975
323	1423	2970
324	1427	2965
325	1431	2959
326	1435	2953
327	1438	2947
328	1442	2942
329	1446	2936
330	1450	2931
331	1454	2926
332	1458	2920
333	1461	2915
334	1466	2910
335	1469	2904
336	1473	2899
337	1477	2893
338	1481	2888
339	1485	2882
340	1488	2877
341	1492	2871
342	1496	2866
343	1500	2861
344	1504	2856
345	1507	2850
346	1512	2845
347	1515	2839
348	1519	2833
349	1522	2827
350	1526	2822
351	1530	2816
352	1533	2810
353	1536	2804
354	1540	2798
355	1544	2793
356	1548	2788
357	1551	2783
358	1555	2777
359	1559	2773
360	1563	2767
361	1567	2762
362	1570	2756
363	1574	2751
364	1578	2746
365	1581	2740
366	1585	2734
367	1589	2729
368	1593	2724
369	1597	2719
370	1601	2714
371	1605	2709
372	1609	2705
373	1612	2699
374	1616	2694
375	1621	2690
376	1625	2686
377	1630	2683
378	1634	2678
379	1638	2673
380	1642	2668
381	1646	2663
382	1650	2658
383	1654	2653
384	1658	2648
385	1662	2643
386	1665	2638
387	1669	2633
388	1674	2629
389	1684	2635
390	1696	2642
391	1704	2643
392	1709	2640
393	1716	2640
394	1720	2634
395	1724	2630
396	1727	2624
397	1731	2618
398	1734	2612
399	1738	2607
400	1742	2602
401	1746	2597
402	1749	2592
403	1753	2587
404	1757	2582
405	1761	2577
406	1765	2572
407	1769	2567
408	1773	2562
409	1777	2557
410	1781	2552
411	1785	2548
412	1789	2543
413	1793	2538
414	1797	2533
415	1801	2528
416	1805	2523
417	1809	2519
418	1813	2514
419	1817	2509
420	1821	2504
421	1825	2500
422	1829	2495
423	1833	2490
424	1837	2485
425	1841	2480
426	1844	2475
427	1848	2470
428	1852	2466
429	1856	2461
430	1860	2456
431	1864	2451
432	1868	2446
433	1872	2442
434	1877	2438
435	1882	2435
436	1887	2431
437	1891	2427
438	1895	2422
439	1900	2418
440	1904	2414
441	1909	2410
442	1913	2406
443	1919	2403
444	1923	2399
445	1928	2395
446	1933	2391
447	1937	2387
448	1942	2383
449	1946	2379
450	1951	2375
451	1956	2371
452	1960	2367
453	1965	2363
454	1969	2358
455	1973	2354
456	1977	2349
457	1981	2345
458	1986	2341
459	1991	2337
460	1995	2333
461	2000	2329
462	2004	2324
463	2009	2320
464	2013	2316
465	2018	2312
466	2022	2308
467	2027	2304
468	2032	2301
469	2036	2296
470	2041	2292
471	2046	2289
472	2051	2285
473	2055	2281
474	2060	2277
475	2065	2273
476	2069	2269
477	2074	2264
478	2078	2260
479	2082	2256
480	2086	2251
481	2091	2247
482	2094	2242
483	2098	2237
484	2103	2233
485	2107	2229
486	2112	2225
487	2118	2222
488	2123	2219
489	2128	2215
490	2133	2212
491	2138	2208
492	2143	2204
493	2148	2201
494	2153	2197
495	2158	2193
496	2163	2189
497	2168	2185
498	2172	2181
499	2177	2177
500	2182	2173
501	2187	2169
502	2191	2165
503	2197	2162
504	2201	2158
505	2207	2154
506	2212	2151
507	2217	2147
508	2223	2144
509	2228	2141
510	2233	2137
511	2239	2134
512	2245	2131
513	2251	2128
514	2256	2125
515	2262	2122
516	2268	2119
517	2275	2117
518	2281	2114
519	2287	2111
520	2293	2108
521	2299	2105
522	2305	2102
523	2312	2100
524	2318	2098
525	2325	2095
526	2332	2093
527	2338	2090
528	2344	2087
529	2351	2085
530	2357	2082
531	2363	2079
532	2368	2075
533	2373	2070
534	2380	2068
535	2385	2065
536	2391	2061
537	2397	2058
538	2402	2055
539	2408	2051
540	2413	2048
541	2419	2044
542	2424	2040
543	2430	2037
544	2435	2033
545	2441	2030
546	2447	2026
547	2452	2022
548	2457	2018
549	2463	2015
550	2468	2011
551	2473	2007
552	2480	2004
553	2485	2000
