date,stock,target,market_cap,price,price_1Y,price_6M,i_revenue,i_inc_lag_days,i_costOfRevenue,i_grossProfit,i_netIncome,i_otherExpenses,i_eps,i_ebitda,i_researchAndDevelopmentExpenses,i_interestIncome,b_cashAndCashEquivalents,b_totalDebt,b_bal_lag_days,b_netDebt,b_totalAssets,b_otherCurrentAssets,b_totalLiabilities,b_totalEquity,b_cashAndShortTermInvestments,b_netReceivables,b_totalCurrentLiabilities,b_totalStockholdersEquity,c_debtRepayment,c_lag_days,c_freeCashFlow,c_dividendsPaid,c_otherFinancingActivites,c_operatingCashFlow,c_capitalExpenditure,e_current_estimated_eps,e_future_estimated_eps,e_current_estim_rev,e_future_estim_rev,price_to_sales,fwd_price_to_sales_diff,est_eps_growth,peRatio,pegRatio,dividend_payout_ratio,est_rev_growth,fcf,fcf_yield,fcf_margin,acid_test,1Y_return,6M_return,div_by_rev_growth,GPRatio,nedDebtToMarketCap,EVGPratio,EVEbitdaRatio,EVRevenue
2022-09-21,JPM,0,333105388000,112.49,165.95,131.49,30709000000,83,0.0,30709000000,8649000000,7567000000.0,2.77,26329000000,0,18646000000.0,669260000000,346634000000,83,-322626000000,3841314000000,783430000000.0,3555171000000,286143000000,876167000000,145442000000,10600000000,286143000000,13647000000,83,66018000000.0,-3344000000,-93398000000,66018000000,0.0,2.89115,2.89617,31867527383,32056129590,10.847158422612264,-0.4558419330534882,0.0017363332929803,40.61010830324909,233.88429207358172,-0.3866342929818476,0.0059183194457882,66018000000.0,0.1981895291348454,2.149793220228597,96.3782075471698,-32.21452244652004,-14.449768043197212,-65.32839204159404,2.149793220228597,-0.9685403227401412,0.3412481031619395,0.3980169394963728,0.3412481031619395
2022-09-21,ABBV,0,248489010000,140.31,108.84,168.91,14583000000,83,4170000000.0,10413000000,924000000,-1533000000.0,0.52,7789000000,1609000000,24000000.0,8521000000,72932000000,83,64411000000,143186000000,4506000000.0,128498000000,14688000000,9961000000,11237000000,34473000000,14653000000,-2000000,83,4862000000.0,-2507000000,-161000000,5005000000,-143000000.0,3.32048,3.57319,14664877978,14960037499,17.039635877391483,-0.4294495716011255,0.0761064665349588,269.8269230769231,35.4538760452084,-2.713203463203463,0.0201269674008057,5148000000.0,0.0207172140128048,0.3530137831721868,0.6149160212340092,28.914002205071665,-16.932094014563965,-134.8043850408803,0.4437358568195844,0.2592106588536853,30.04897820032652,40.17203877262806,21.456491119797025
2022-09-21,LLY,1,267039536000,296.48,230.36,305.84,6488000000,83,1430500000.0,5057500000,952500000,70700000.0,1.06,1521000000,1781900000,10200000.0,2622900000,16813800000,83,14190900000,47063600000,5613400000.0,38404400000,8659200000,2736700000,7672400000,15620600000,8544700000,767600000,83,369700000.0,-883700000,-7600000,820700000,-451000000.0,1.70027,1.91408,6848884427,6887838354,41.15899136868064,-2.389275490415123,0.1257506160786228,279.6981132075472,22.24228571831982,-0.9277690288713912,0.0056876309441628,1271700000.0,0.0047622161835991,0.1960080147965474,0.6663700498060253,28.70289980899462,-3.060423750980892,-163.12046930955597,0.3316276202219482,0.0531415692693534,55.60661117152743,184.89838001314925,43.3462447595561
2022-05-27,DVN,0,49421600000,75.8,31.66,43.42,3812000000,57,2431000000.0,1381000000,989000000,2000000.0,1.51,1843000000,0,1000000.0,2625000000,6722000000,57,4097000000,21778000000,346000000.0,12343000000,9435000000,2625000000,2002000000,3754000000,9300000000,0,57,1299000000.0,-667000000,-81000000,1837000000,-538000000.0,1.74712,2.30991,4046051571,4152168012,12.964742917103882,-1.0621417080081077,0.3221244104583542,50.198675496688736,1.5583629761327464,-0.6744186046511628,0.0262271597724032,2375000000.0,0.048055910775855,0.6230325288562435,1.232551944592435,139.41882501579278,74.57392906494702,-25.714511617106204,0.3407660020986359,0.0828989753468119,38.75351194786386,29.03884970157352,14.039506820566633
2023-04-27,LLY,1,351197895000,390.35,292.37,368.72,6960000000,27,1626700000.0,5333300000,1344900000,104300000.0,1.49,1994800000,1985100000,34200000.0,3545900000,18883600000,27,15337700000,53163000000,3575200000.0,41868100000,11294900000,3669300000,9022100000,16010000000,11190400000,2460500000,27,827100000.0,-1017200000,-281000000,1730600000,-903500000.0,1.72566,1.97915,6863539343,7582701675,50.459467672413794,-4.1437994511659895,0.1468945215164053,261.9798657718121,17.834556596622562,-0.7563387612461893,0.1047800990218641,2634100000.0,0.0075003296930353,0.3784626436781609,0.7927170518425983,33.512330266443215,5.86623996528531,-7.218343638789334,0.404051724137931,0.0436725282764009,68.725853599085,183.74553589332265,52.663160201149424
2023-04-27,MHK,0,6290310400,98.78,153.1,102.44,2806223000,26,2162781000.0,643442000,80200000,566000.0,1.26,309364000,0,17137000.0,572858000,3732222000,26,3159364000,14763457000,556043000.0,6657751000,8111939000,722858000,2052362000,3318373000,8105706000,469237000,26,128783000.0,0,-18287000,257276000,-128493000.0,1.3072,2.64708,2753552803,2947891346,2.24155756687904,-0.1077236965990735,1.025,78.39682539682539,0.7648470770421988,0.0,0.0705773801716342,385769000.0,0.061327498242376,0.1374691177429591,0.8363194854827953,-35.480078380143695,-3.572823115970321,0.0,0.0458919337486721,0.5022588392458344,14.68613239421735,30.545488162811445,3.367399668522423
2023-08-30,ZETA,1,1603495044,7.94,7.01,10.24,171817000,61,62037000.0,109780000,-52159000,-2838000.0,-0.34,-36457000,17343000,2797000.0,117066000,183942000,61,66876000,491206000,7455000.0,353858000,137348000,117066000,122023000,147290000,137348000,0,61,12837000.0,0,101000,20629000,-7792000.0,-0.27857,-0.27571,161972305,178889747,9.33257503041026,-0.3689811358982418,-0.0102667193165092,-23.352941176470587,22.74625462772542,-0.0,0.1044465101611044,28421000.0,0.0177244077593793,0.165414365283994,1.6232534455835426,13.266761768901578,-22.4609375,-0.0,0.1756520018391661,0.0417063964433431,15.215622554199308,-45.81756710645418,9.721803104465796
2023-02-21,LLY,1,295086510000,327.51,249.5,306.82,7301800000,52,1548100000.0,5753700000,1937700000,318500000.0,2.04,2555400000,1995900000,25500000.0,2067000000,16238600000,52,14171600000,49489800000,2954100000.0,38714400000,10775400000,2211800000,8558900000,17138200000,10649800000,-243300000,52,1024100000.0,-884400000,-13700000,1579700000,-555600000.0,1.78291,1.72566,7332491349,6863539343,40.41284477799994,2.5804995088589067,-0.0321104262133254,160.5441176470588,-49.99750441818647,-0.4564174020746245,-0.0639553439178561,2135300000.0,0.0072361830434064,0.2924347421183818,0.6284615653919314,31.26653306613226,6.743367446711426,7.136501410434822,0.4135966474020104,0.0480252384292321,53.74943253906182,121.02140956406042,42.353681284066944
2023-02-21,NVDA,1,510302000000,20.66,23.48,13.47,6051000000,23,2218000000.0,3833000000,1414000000,-19000000.0,0.057,1780000000,1952000000,115000000.0,3389000000,11855000000,23,8466000000,41182000000,791000000.0,19081000000,22101000000,13296000000,3827000000,6563000000,22101000000,0,23,1740000000.0,-98000000,-345000000,2249000000,-509000000.0,0.081085,0.09236,6015051686,6532458383,84.33349859527351,-6.215587989366782,0.1390516125053955,362.4561403508772,26.06630256350412,-0.0693069306930693,0.086018661851944,2758000000.0,0.0054046427409651,0.45579243100314,2.6090202651226573,-12.01022146507666,53.37787676317743,-0.8057197031541935,0.6101470831267559,0.0165901760134195,135.3425515262197,291.44269662921346,85.73260618079657
2023-02-21,IONQ,1,928523647,4.64,14.5,5.63,3807000,52,901000.0,2906000,-18647000,33000.0,-0.0936,-22269000,13696000,3167000.0,44367000,4050000,52,-40317000,597992000,16491000.0,29781000,568211000,355797000,3292000,20160000,568211000,0,52,-17007000.0,0,-1069000,-14913000,-2094000.0,-0.124,-0.112,3180200,3794000,243.89904045179927,0.8357109978580297,-0.096774193548387,-49.57264957264957,5.122507122507123,-0.0,0.1930067291365323,-12819000.0,-0.0138057873285374,-3.367218282111899,17.811954365079366,-68.0,-17.584369449378336,-0.0,-0.8697136853165222,-0.0434205419864767,305.6457835512732,-39.88534047330369,233.3088119254006
