date,symbol,price,ratio,to_buy,sma_10d,sma_50w,sma_100d,sma_200d,other_expenses,ebitdaMargin,eps,costOfRevenue,revenues,revenues_lag_days,MarkRevRatio,cost_revenue_ratio
2021-07-30,OXY,26.1,0.4,1,26.41,21.14,27.29,22.95,578000000,0.506,-0.1,4610000000,5958000000,30,4.098,0.77
2021-07-30,WDC,64.93,0.7,0,63.84,57.22,69.87,60.77,0,0.187,2.03,3354000000,4920000000,28,4.091,0.68
2024-01-17,C,51.36,0.48,1,53.02,46.07,44.51,45.44,-7465000000,-0.132,-1.16,12424000000,18840000000,17,5.208,0.66
2023-01-31,CTVA,64.45,0.73,0,62.76,59.41,62.51,60.12,166000000,0.052,-0.06,2510000000,3825000000,31,12.012,0.66
2023-01-31,OKE,68.48,0.59,0,68.98,63.24,62.23,62.14,224559000,0.189,1.08,4050660000,5032031000,31,6.097,0.8
2023-07-03,AEE,82.85,0.79,0,82.01,86.53,85.12,85.26,82000000,0.444,0.9,972000000,1760000000,3,12.371,0.55
2023-07-03,ETR,98.14,0.73,0,98.12,108.28,104.06,106.67,-48544000,0.442,1.85,1484932000,2846026000,3,7.292,0.52
2019-11-26,CCJ,9.31,0.72,1,9.44,10.47,9.31,10.23,7168000,0.14,-0.03,305216000,303180000,57,12.154,1.01
2019-11-26,IPG,22.31,0.62,0,22.25,21.92,21.52,21.93,-7400000,0.144,0.43,2079000000,2438100000,57,3.54,0.85
2019-11-26,DELL,26.95,0.64,0,27.77,27.42,26.53,28.33,0,0.102,0.69,15718000000,22844000000,25,0.866,0.69
2022-01-07,MRO,18.24,0.45,1,17.03,12.93,14.87,13.47,3000000,0.398,0.87,861000000,1732000000,7,7.688,0.5
2022-01-07,CTVA,48.42,0.66,1,47.44,45.2,44.89,45.11,335000000,0.172,0.22,2232000000,3479000000,7,10.118,0.64
2022-12-02,F,13.86,0.39,0,13.94,15.23,13.79,14.13,653000000,0.052,-0.23,34354000000,39392000000,63,1.409,0.87
2022-12-02,NI,27.57,0.73,0,27.18,28.84,27.86,28.95,4000000,0.336,0.13,678700000,1089500000,63,10.347,0.62
2023-09-07,AEE,78.7,0.75,0,79.31,84.53,83.82,85.27,82000000,0.444,0.9,972000000,1760000000,69,11.751,0.55
2023-09-07,VLO,136.25,0.56,0,132.39,125.76,119.43,125.69,106000000,0.083,5.41,31539000000,34509000000,69,1.378,0.91
2023-09-07,MPC,150.89,0.47,1,145.16,121.96,123.49,116.56,269000000,0.109,5.34,32549000000,36385000000,69,1.634,0.89
2023-02-28,CTVA,62.29,0.7,0,61.89,60.19,62.85,60.53,166000000,0.052,-0.06,2510000000,3825000000,59,11.61,0.66
2023-02-28,OKE,65.45,0.56,0,67.73,63.37,64.27,62.27,224559000,0.189,1.08,4050660000,5032031000,59,5.827,0.8
2021-10-04,MRO,14.83,0.61,1,13.3,10.36,12.4,11.09,150000000,0.371,0.23,872000000,1438000000,4,7.663,0.61
2021-10-04,CF,60.74,0.24,1,55.47,45.96,49.88,47.62,19000000,0.455,-0.86,922000000,1362000000,4,9.544,0.68
2021-12-10,OXY,30.77,0.7,1,30.02,27.25,29.11,28.28,576000000,0.537,0.67,4424000000,6792000000,71,4.243,0.65
2021-12-10,CF,61.17,0.25,1,59.81,50.68,54.3,52.06,19000000,0.455,-0.86,922000000,1362000000,71,9.611,0.68
2021-12-10,VLO,70.85,0.77,1,69.72,71.31,70.53,73.31,32000000,0.025,1.13,28613000000,29520000000,71,0.977,0.97
2021-12-10,LMT,344.88,0.67,1,337.6,359.66,351.28,363.58,-1474000000,0.072,2.22,13726000000,16028000000,75,5.881,0.86
2023-07-05,ETR,99.16,0.74,0,98.08,108.28,103.99,106.59,-48544000,0.442,1.85,1484932000,2846026000,5,7.368,0.52
2022-06-02,PHM,45.51,0.5,0,43.71,49.48,46.39,48.79,2821000,0.194,1.85,2256562000,3187615000,63,3.374,0.71
2022-06-02,TAP,53.98,0.54,0,53.64,49.54,51.97,49.17,12600000,0.205,0.7,1286800000,2214600000,63,5.289,0.58
2022-06-02,OXY,69.3,0.66,0,67.26,39.39,52.19,40.98,659000000,0.563,4.89,4483000000,8349000000,63,8.448,0.54
2022-06-02,MPC,104.27,0.14,1,99.71,71.11,83.29,73.02,998000000,0.066,1.5,35068000000,38384000000,63,1.445,0.91
2022-06-02,VLO,133.62,0.18,0,127.84,83.94,99.69,85.8,19000000,0.035,2.22,36934000000,38542000000,63,1.401,0.96
2023-06-30,AEE,81.67,0.78,0,82.14,86.63,85.15,85.32,82000000,0.444,0.9,972000000,1760000000,0,12.195,0.55
2023-06-30,ETR,97.37,0.73,0,98.51,108.52,104.15,106.78,-48544000,0.442,1.85,1484932000,2846026000,0,7.235,0.52
2023-06-30,VLO,117.3,0.48,1,113.64,122.14,122.87,124.05,106000000,0.083,5.41,31539000000,34509000000,0,1.186,0.91
2021-02-04,NI,22.76,0.51,1,22.1,23.59,22.94,23.31,411500000,0.674,0.22,723700000,1211000000,35,7.381,0.6
2021-02-04,C,62.41,0.5,1,60.21,51.0,52.67,51.39,60659000000,0.227,1.93,34571000000,19314000000,35,6.728,1.79
2021-07-20,OXY,25.37,0.39,1,28.06,20.91,27.45,22.3,578000000,0.506,-0.1,4610000000,5958000000,20,3.983,0.77
2021-07-20,WDC,64.64,0.69,0,67.7,56.63,70.26,59.71,0,0.187,2.03,3354000000,4920000000,18,4.073,0.68
2023-01-18,CTVA,61.51,0.69,0,61.42,58.94,62.39,59.95,166000000,0.052,-0.06,2510000000,3825000000,18,11.464,0.66
2023-01-18,OKE,68.65,0.59,0,68.35,63.03,61.62,62.22,224559000,0.189,1.08,4050660000,5032031000,18,6.112,0.8
2022-05-20,PHM,42.74,0.47,0,42.3,49.83,47.34,49.18,2821000,0.194,1.85,2256562000,3187615000,50,3.169,0.71
2022-05-20,TAP,51.23,0.51,1,54.29,49.65,51.47,49.01,12600000,0.205,0.7,1286800000,2214600000,50,5.02,0.58
2022-05-20,LEN,74.44,0.54,1,74.79,96.68,88.19,96.24,-12709000,0.242,1.71,4996952000,6203516000,81,3.479,0.81
2022-05-20,XOM,91.86,0.57,1,88.81,68.74,80.46,70.19,-7554000000,0.172,1.28,62629000000,87962000000,50,4.421,0.71
2022-05-20,MPC,96.56,0.13,1,94.57,69.4,80.58,71.33,998000000,0.066,1.5,35068000000,38384000000,50,1.338,0.91
2022-05-20,VLO,122.98,0.16,1,123.27,81.74,95.56,83.28,19000000,0.035,2.22,36934000000,38542000000,50,1.289,0.96
2023-12-15,IPG,32.85,0.79,0,31.55,34.35,30.69,34.06,-1600000,0.178,0.64,2219400000,2678500000,76,4.678,0.83
2019-11-13,NI,26.4,0.68,1,26.87,28.05,28.88,28.34,-2600000,0.293,-0.02,590600000,931500000,44,10.685,0.63
2019-11-13,DELL,27.75,0.66,0,27.46,27.56,26.41,28.24,0,0.102,0.69,15718000000,22844000000,12,0.892,0.69
2023-03-14,CTVA,58.92,0.67,0,61.42,60.14,62.9,60.68,166000000,0.052,-0.06,2510000000,3825000000,73,10.981,0.66
2023-03-14,OKE,64.38,0.55,0,66.2,62.98,65.41,62.37,224559000,0.189,1.08,4050660000,5032031000,73,5.732,0.8
2023-05-01,DAL,34.72,0.17,1,34.26,34.02,35.84,34.17,563000000,0.014,-0.57,11901000000,12759000000,31,1.739,0.93
2023-05-01,MHK,103.32,0.77,0,98.77,109.62,104.89,105.99,566000,0.045,1.26,2162781000,2806223000,30,2.345,0.77
2023-11-27,IPG,30.35,0.73,0,30.12,34.4,31.5,34.06,-1600000,0.178,0.64,2219400000,2678500000,58,4.322,0.83
2019-12-16,CCJ,8.92,0.69,1,9.21,10.35,9.17,10.05,7168000,0.14,-0.03,305216000,303180000,77,11.645,1.01
2019-12-16,IPG,22.89,0.64,0,22.56,22.06,21.44,21.88,-7400000,0.144,0.43,2079000000,2438100000,77,3.632,0.85
2019-12-16,DELL,25.07,0.6,0,24.35,27.55,26.08,28.09,0,0.102,0.69,15718000000,22844000000,45,0.806,0.69
2019-12-16,NI,27.17,0.7,0,26.77,28.1,28.29,28.32,-2600000,0.293,-0.02,590600000,931500000,77,10.996,0.63
2019-12-18,CCJ,8.76,0.68,1,9.1,10.35,9.16,10.02,7168000,0.14,-0.03,305216000,303180000,79,11.436,1.01
2019-12-18,IPG,22.5,0.63,0,22.63,22.06,21.43,21.88,-7400000,0.144,0.43,2079000000,2438100000,79,3.571,0.85
2019-12-18,DELL,25.33,0.6,0,24.59,27.55,26.03,28.06,0,0.102,0.69,15718000000,22844000000,47,0.814,0.69
2019-12-18,NI,27.55,0.71,0,26.96,28.1,28.24,28.32,-2600000,0.293,-0.02,590600000,931500000,79,11.15,0.63
2023-01-24,CTVA,62.51,0.71,0,62.23,59.2,62.39,60.03,166000000,0.052,-0.06,2510000000,3825000000,24,11.651,0.66
2023-01-24,OKE,69.51,0.6,0,69.85,63.11,61.81,62.2,224559000,0.189,1.08,4050660000,5032031000,24,6.188,0.8
2023-09-13,AEE,80.1,0.77,0,78.93,84.53,83.43,85.12,82000000,0.444,0.9,972000000,1760000000,75,11.96,0.55
2023-09-13,QRVO,94.34,0.58,1,101.98,97.75,100.08,99.51,13716000,-0.053,-0.44,422094000,651164000,74,14.19,0.65
2023-09-13,ETR,97.09,0.72,0,95.06,104.7,99.98,104.37,-48544000,0.442,1.85,1484932000,2846026000,75,7.214,0.52
2023-09-13,VLO,145.48,0.6,0,137.59,126.5,120.18,125.8,106000000,0.083,5.41,31539000000,34509000000,75,1.471,0.91
2022-01-31,NI,29.18,0.71,0,27.94,25.35,25.73,25.56,9100000,0.337,0.44,859500000,1408600000,31,9.133,0.61
2022-01-31,CTVA,48.08,0.66,1,46.78,45.56,45.44,45.12,335000000,0.172,0.22,2232000000,3479000000,31,10.047,0.64
2024-02-27,GM,40.18,0.42,1,39.18,34.45,33.37,36.57,8442000000,0.105,1.59,39670000000,42979000000,58,1.08,0.92
2024-02-27,CTVA,55.13,0.72,0,54.53,52.72,48.44,51.33,-177000000,0.118,-0.36,2366000000,3707000000,58,10.416,0.64
2024-02-27,C,55.71,0.52,1,55.04,46.73,48.16,46.44,-7465000000,-0.132,-1.16,12424000000,18840000000,58,5.649,0.66
2024-01-12,CTVA,46.11,0.6,1,47.12,54.06,48.54,52.81,-177000000,0.118,-0.36,2366000000,3707000000,12,8.712,0.64
2023-09-14,AEE,81.04,0.78,0,78.99,84.53,83.34,85.08,82000000,0.444,0.9,972000000,1760000000,76,12.101,0.55
2023-09-14,ETR,98.75,0.74,0,95.26,104.7,99.88,104.29,-48544000,0.442,1.85,1484932000,2846026000,76,7.337,0.52
2023-09-14,VLO,145.95,0.6,0,139.04,126.5,120.44,125.84,106000000,0.083,5.41,31539000000,34509000000,76,1.476,0.91
2021-01-08,DELL,39.12,0.51,1,37.32,28.47,34.37,29.54,0,0.121,1.11,16221000000,23482000000,70,1.249,0.69
2021-01-08,XOM,45.46,0.77,1,42.75,42.68,38.02,41.06,72000000,0.088,-4.7,30230000000,46203000000,8,4.197,0.65
2021-01-08,C,65.37,0.52,1,62.36,52.24,50.63,49.63,60659000000,0.227,1.93,34571000000,19314000000,8,7.047,1.79
2022-07-25,ALB,227.57,0.59,1,209.87,227.18,214.82,225.98,8767000,0.347,3.47,899169000,1479593000,25,18.016,0.61
2021-06-02,CF,54.51,0.56,1,52.99,39.18,47.46,40.34,0,0.43,0.7,759000000,1048000000,63,11.209,0.72
2021-06-02,LYB,115.87,0.41,0,112.2,87.74,103.58,91.11,25000000,0.175,3.19,7678000000,9082000000,63,4.261,0.85
2022-10-18,F,12.03,0.34,1,11.88,15.94,13.38,15.33,653000000,0.052,-0.23,34354000000,39392000000,18,1.223,0.87
2022-10-18,IPG,29.3,0.69,1,27.21,32.21,28.42,31.71,67000000,0.171,0.64,2216200000,2637700000,18,4.309,0.84
2022-02-22,MRO,21.6,0.54,1,21.44,14.43,17.35,14.84,3000000,0.398,0.87,861000000,1732000000,53,9.104,0.5
2022-02-22,NI,28.36,0.69,1,28.56,25.75,26.42,25.78,9100000,0.337,0.44,859500000,1408600000,53,8.876,0.61
2022-02-22,OXY,38.32,0.44,1,40.18,29.75,33.35,30.23,672000000,0.568,1.67,4621000000,7913000000,53,4.826,0.58
2022-02-22,DE,353.78,0.8,1,384.57,360.71,357.79,358.36,238000000,0.2,2.94,6695000000,9331000000,23,11.681,0.72
2021-06-14,GM,60.79,0.79,0,61.97,44.55,56.6,47.2,2279000000,0.23,2.06,27394000000,32474000000,75,2.716,0.84
2021-06-14,LYB,108.52,0.38,0,113.42,89.34,104.87,92.89,25000000,0.175,3.19,7678000000,9082000000,75,3.991,0.85
2021-02-03,C,61.1,0.49,1,60.15,51.0,52.56,51.28,60659000000,0.227,1.93,34571000000,19314000000,34,6.586,1.79
2021-04-01,GM,57.8,0.75,0,57.27,37.1,49.1,39.21,2279000000,0.23,2.06,27394000000,32474000000,1,2.583,0.84
2021-04-01,LYB,105.55,0.37,0,104.42,78.94,94.23,82.24,25000000,0.175,3.19,7678000000,9082000000,1,3.882,0.85
2023-11-03,IPG,29.76,0.71,0,28.27,34.63,32.9,34.06,-1600000,0.178,0.64,2219400000,2678500000,34,4.238,0.83
2021-05-26,CF,51.99,0.54,1,53.13,38.68,46.94,39.97,0,0.43,0.7,759000000,1048000000,56,10.691,0.72
2021-05-26,GM,58.08,0.76,0,56.17,42.4,54.87,45.25,2279000000,0.23,2.06,27394000000,32474000000,56,2.595,0.84
2021-05-26,LYB,110.94,0.39,0,111.65,86.75,102.74,90.21,25000000,0.175,3.19,7678000000,9082000000,56,4.08,0.85
2021-05-28,LYB,112.62,0.4,0,111.81,86.75,103.19,90.63,25000000,0.175,3.19,7678000000,9082000000,58,4.142,0.85
2023-05-15,TAP,63.7,0.46,0,64.53,53.54,53.93,52.98,2800000,0.14,0.33,1575600000,2346300000,45,5.875,0.67
2023-05-15,MHK,96.5,0.72,1,98.72,107.82,104.86,104.31,566000,0.045,1.26,2162781000,2806223000,44,2.19,0.77
2019-12-30,DELL,25.79,0.61,0,25.54,27.69,25.91,27.98,0,0.102,0.69,15718000000,22844000000,59,0.829,0.69
2019-12-30,NI,27.52,0.73,0,27.44,28.13,28.14,28.31,-2600000,0.293,-0.02,590600000,931500000,91,11.138,0.63
2019-12-30,AJG,94.9,0.79,1,94.89,86.71,90.65,87.81,387300000,0.157,0.68,1270800000,1821900000,91,9.759,0.7
2021-03-26,NI,23.8,0.54,0,23.62,23.24,22.91,23.04,411500000,0.674,0.22,723700000,1211000000,85,7.718,0.6
2021-03-26,C,73.02,0.58,0,72.57,53.88,61.51,55.11,60659000000,0.227,1.93,34571000000,19314000000,85,7.871,1.79
2023-04-11,DAL,34.58,0.16,1,33.88,34.33,35.93,33.87,563000000,0.014,-0.57,11901000000,12759000000,11,1.732,0.93
2023-04-11,MHK,100.12,0.75,1,96.54,112.04,105.26,107.87,566000,0.045,1.26,2162781000,2806223000,10,2.272,0.77
2023-05-05,DAL,33.94,0.16,1,33.8,34.02,35.83,34.22,563000000,0.014,-0.57,11901000000,12759000000,35,1.7,0.93
2023-05-05,TAP,64.89,0.47,0,61.51,53.18,53.2,52.8,2800000,0.14,0.33,1575600000,2346300000,35,5.985,0.67
2022-08-12,UAA,10.03,0.77,1,9.5,16.82,11.68,16.1,-14241000,0.051,0.02,718860000,1349057000,43,3.378,0.53
2022-08-12,GM,39.48,0.61,0,37.26,47.04,37.2,45.87,2089000000,0.146,1.16,31350000000,35759000000,43,1.599,0.88
2022-08-12,ALB,281.57,0.73,1,249.23,228.45,223.02,227.13,8767000,0.347,3.47,899169000,1479593000,43,22.291,0.61
2023-06-29,DAL,46.31,0.22,0,43.9,34.97,36.64,35.28,563000000,0.014,-0.57,11901000000,12759000000,90,2.319,0.93
2023-06-29,TAP,65.62,0.48,0,66.14,54.76,58.0,54.5,2800000,0.14,0.33,1575600000,2346300000,90,6.052,0.67
2023-06-29,QRVO,101.34,0.62,1,100.99,96.18,97.85,95.01,57105000,-0.287,-1.4,517989000,632703000,89,15.778,0.82
2021-08-13,OXY,25.79,0.4,1,26.19,21.65,27.05,23.76,578000000,0.506,-0.1,4610000000,5958000000,44,4.049,0.77
2021-08-13,WDC,63.15,0.68,0,65.7,58.42,69.55,62.04,0,0.187,2.03,3354000000,4920000000,42,3.979,0.68
2019-12-24,CCJ,8.86,0.69,1,8.9,10.29,9.15,9.96,7168000,0.14,-0.03,305216000,303180000,85,11.567,1.01
2019-12-24,IPG,23.02,0.64,0,22.86,22.08,21.45,21.89,-7400000,0.144,0.43,2079000000,2438100000,85,3.653,0.85
2019-12-24,DELL,25.75,0.61,0,25.17,27.61,25.9,28.03,0,0.102,0.69,15718000000,22844000000,53,0.827,0.69
2019-12-24,NI,27.43,0.71,0,27.27,28.12,28.16,28.32,-2600000,0.293,-0.02,590600000,931500000,85,11.102,0.63
2019-12-03,CCJ,9.17,0.71,1,9.38,10.45,9.24,10.17,7168000,0.14,-0.03,305216000,303180000,64,11.971,1.01
2019-12-03,IPG,22.28,0.62,0,22.29,21.97,21.48,21.92,-7400000,0.144,0.43,2079000000,2438100000,64,3.536,0.85
2019-12-03,DELL,24.01,0.57,0,26.39,27.47,26.45,28.27,0,0.102,0.69,15718000000,22844000000,32,0.771,0.69
2019-12-03,NI,26.41,0.68,1,26.33,28.03,28.51,28.31,-2600000,0.293,-0.02,590600000,931500000,64,10.689,0.63
2022-03-15,MRO,21.65,0.54,1,23.24,15.15,18.44,15.67,3000000,0.398,0.87,861000000,1732000000,74,9.125,0.5
2022-03-15,NI,29.85,0.73,0,29.79,26.13,27.15,26.07,9100000,0.337,0.44,859500000,1408600000,74,9.343,0.61
2022-03-15,OXY,54.53,0.62,1,54.59,31.49,36.03,32.1,672000000,0.568,1.67,4621000000,7913000000,74,6.867,0.58
2022-03-15,CTVA,54.99,0.75,1,52.36,46.28,47.94,45.72,335000000,0.172,0.22,2232000000,3479000000,74,11.491,0.64
2022-03-15,LEN,86.27,0.62,0,86.99,100.98,101.57,100.74,-12709000,0.242,1.71,4996952000,6203516000,15,4.031,0.81
2019-11-07,CCJ,9.63,0.75,0,9.36,10.62,9.46,10.41,7168000,0.14,-0.03,305216000,303180000,38,12.572,1.01
2019-11-07,IPG,22.67,0.63,0,22.13,21.95,21.56,21.93,-7400000,0.144,0.43,2079000000,2438100000,38,3.597,0.85
2019-11-07,DELL,27.51,0.66,0,27.01,27.59,26.39,28.16,0,0.102,0.69,15718000000,22844000000,6,0.884,0.69
2021-05-21,CF,52.33,0.54,1,53.74,38.2,46.51,39.69,0,0.43,0.7,759000000,1048000000,51,10.761,0.72
2021-05-21,GM,56.72,0.74,0,55.72,41.77,54.4,44.8,2279000000,0.23,2.06,27394000000,32474000000,51,2.534,0.84
2021-05-21,LYB,110.5,0.39,0,112.01,85.83,102.14,89.56,25000000,0.175,3.19,7678000000,9082000000,51,4.064,0.85
2022-06-08,PHM,44.07,0.49,0,44.89,49.25,45.99,48.64,2821000,0.194,1.85,2256562000,3187615000,69,3.267,0.71
2022-06-08,TAP,53.93,0.54,0,54.48,49.49,52.16,49.28,12600000,0.205,0.7,1286800000,2214600000,69,5.284,0.58
2022-06-08,OXY,69.03,0.65,0,69.44,40.01,53.62,41.93,659000000,0.563,4.89,4483000000,8349000000,69,8.415,0.54
2022-06-08,CF,89.84,0.57,1,95.72,71.18,90.94,75.15,2000000,0.663,4.23,1170000000,2868000000,69,6.522,0.41
2022-06-08,VLO,143.77,0.19,0,134.6,85.1,101.99,87.39,19000000,0.035,2.22,36934000000,38542000000,69,1.507,0.96
2021-07-13,WDC,70.08,0.75,0,70.03,56.1,70.39,59.02,0,0.187,2.03,3354000000,4920000000,11,4.416,0.68
2024-01-16,F,11.46,0.37,1,11.77,12.22,11.5,12.71,-1802000000,0.005,-0.13,43432000000,45962000000,16,0.997,0.94
2024-01-16,CTVA,45.49,0.6,1,46.88,53.74,48.5,52.74,-177000000,0.118,-0.36,2366000000,3707000000,16,8.595,0.64
2024-01-16,C,51.87,0.49,1,53.19,46.07,44.4,45.41,-7465000000,-0.132,-1.16,12424000000,18840000000,16,5.26,0.66
2019-11-01,NI,27.65,0.71,0,27.87,28.03,29.08,28.33,-2600000,0.293,-0.02,590600000,931500000,32,11.191,0.63
2023-10-24,IPG,27.9,0.67,1,28.84,34.69,33.77,34.06,-1600000,0.178,0.64,2219400000,2678500000,24,3.973,0.83
