date,symbol,price,ratio,to_buy,sma_10d,sma_50w,sma_100d,sma_200d,sma_50d,other_expenses,NetProfitMargin,ebitdaMargin,eps,costOfRevenue,netIncome,revenues,revenues_lag_days,pe_ratio,cost_revenue_ratio
2021-05-10,NRG,35.46,1.07,1,35.52,35.31,38.47,35.59,37.99,22000000,-0.01,0.04,-0.33,6864000000,-82000000,8091000000,40,-107.45454545454545,0.85
2021-05-10,CAH,58.33,0.43,0,59.83,53.75,56.45,53.84,58.95,12000000,0.003,0.02,0.41,37463000000,119000000,39275000000,40,142.26829268292684,0.95
2021-05-10,MCK,202.13,0.53,0,191.48,169.33,183.96,171.48,188.99,71000000,0.011,0.019,4.19,55845000000,666000000,59142000000,40,48.24105011933174,0.94
2019-11-18,F,8.95,0.96,0,8.95,9.19,9.28,9.33,8.97,95000000,0.011,0.066,0.11,32282000000,425000000,36990000000,49,81.36363636363636,0.87
2019-11-18,CAH,56.01,0.44,0,53.94,47.89,47.22,47.68,49.45,-14000000,-0.132,0.018,-16.65,35662000000,-4922000000,37341000000,49,-3.3639639639639642,0.96
2019-11-18,MCK,149.59,0.46,1,142.44,131.13,141.17,132.72,140.93,-78000000,-0.013,-0.011,-4.0,54749000000,-730000000,57616000000,49,-37.3975,0.95
2022-07-12,F,11.56,1.16,1,11.42,16.12,14.53,16.78,12.69,627000000,0.017,0.165,0.17,33191000000,667000000,40190000000,12,68.0,0.83
2022-07-12,UAL,38.23,1.03,1,36.49,44.45,42.69,44.39,41.96,1642000000,0.027,0.083,1.01,9087000000,329000000,12112000000,12,37.85148514851485,0.75
2024-05-22,F,12.03,1.12,1,12.22,12.28,12.3,11.92,12.6,124000000,0.031,0.065,0.33,39053000000,1332000000,42777000000,52,36.45454545454545,0.91
2022-08-01,UAL,37.69,1.02,1,37.62,43.91,42.04,43.58,39.55,1642000000,0.027,0.083,1.01,9087000000,329000000,12112000000,32,37.31683168316832,0.75
2024-01-25,F,11.34,0.99,1,11.3,12.19,11.45,12.18,11.23,-1802000000,-0.011,0.005,-0.13,43432000000,-526000000,45962000000,25,-87.23076923076923,0.94
2024-01-25,UAL,42.96,1.04,1,40.24,45.54,40.8,45.36,40.8,1325000000,0.044,0.127,1.83,12010000000,599000000,13626000000,25,23.475409836065573,0.88
2024-05-24,F,12.16,1.13,1,12.23,12.28,12.3,11.91,12.6,124000000,0.031,0.065,0.33,39053000000,1332000000,42777000000,54,36.848484848484844,0.91
2024-01-26,F,11.39,0.99,1,11.27,12.19,11.44,12.18,11.27,-1802000000,-0.011,0.005,-0.13,43432000000,-526000000,45962000000,26,-87.61538461538461,0.94
2024-01-26,UAL,42.55,1.03,1,40.05,45.54,40.73,45.35,40.89,1325000000,0.044,0.127,1.83,12010000000,599000000,13626000000,26,23.251366120218577,0.88
2022-08-18,UAL,39.06,1.05,1,38.91,43.56,41.93,43.05,37.9,1642000000,0.027,0.083,1.01,9087000000,329000000,12112000000,49,38.67326732673268,0.75
2023-11-10,F,9.86,0.9,1,10.02,12.48,12.55,12.5,11.66,-67000000,0.027,0.132,0.3,37548000000,1199000000,43801000000,41,32.86666666666667,0.86
2022-09-14,GPS,9.34,0.88,1,9.46,14.44,10.18,13.05,9.56,0,-0.013,0.027,-0.13,2527000000,-49000000,3857000000,46,-71.84615384615384,0.66
2022-09-14,AAL,14.03,0.73,0,13.64,16.68,15.14,16.23,14.19,25000000,0.035,0.08,0.73,10517000000,476000000,13422000000,76,19.21917808219178,0.78
2022-09-14,KSS,28.68,0.83,0,29.38,46.83,37.47,46.39,29.69,0,0.035,0.122,1.13,2538000000,143000000,4087000000,46,25.38053097345133,0.62
2022-09-14,WBA,34.77,0.93,1,35.53,44.7,40.12,44.31,37.93,1825000000,-0.013,0.046,-0.48,26038000000,-415000000,32449000000,14,-72.43750000000001,0.8
2022-09-14,UAL,38.43,1.04,1,37.43,42.76,40.55,41.99,37.73,1642000000,0.027,0.083,1.01,9087000000,329000000,12112000000,76,38.04950495049505,0.75
2022-09-14,KR,48.94,1.01,0,49.25,48.38,49.76,49.68,47.94,0,0.021,0.057,1.01,28076000000,724000000,34638000000,32,48.45544554455445,0.81
2022-09-14,CAH,66.74,0.38,1,69.66,55.59,59.21,56.37,62.91,87000000,0.003,0.011,0.51,45498000000,138000000,47103000000,76,130.8627450980392,0.97
2021-06-25,NRG,38.49,1.17,1,37.48,35.52,37.45,35.74,35.58,22000000,-0.01,0.04,-0.33,6864000000,-82000000,8091000000,86,-116.63636363636364,0.85
2021-06-25,KR,39.21,0.71,1,38.87,34.67,36.36,34.57,37.66,18000000,0.003,0.045,0.18,31947000000,140000000,41298000000,34,217.83333333333334,0.77
2021-06-25,CAH,57.28,0.42,0,57.07,54.28,57.21,54.52,58.1,12000000,0.003,0.02,0.41,37463000000,119000000,39275000000,86,139.70731707317074,0.95
2023-10-16,F,11.93,1.09,0,12.02,12.72,13.02,12.67,12.2,-67000000,0.027,0.132,0.3,37548000000,1199000000,43801000000,16,39.766666666666666,0.86
2023-10-16,AAL,11.94,0.58,1,12.33,14.79,15.25,15.07,13.88,2967000000,-0.04,-0.055,-0.83,10308000000,-545000000,13482000000,16,-14.385542168674698,0.76
2023-10-16,KSS,19.1,0.54,1,18.94,25.22,23.62,24.7,23.45,0,0.015,0.09,0.53,2242000000,58000000,3895000000,79,36.0377358490566,0.58
2023-10-16,WBA,22.78,0.55,1,22.63,32.2,27.27,31.09,24.11,1387000000,-0.005,0.044,-0.21,28947000000,-180000000,35422000000,46,-108.47619047619048,0.82
2023-10-16,LNC,24.02,0.97,1,23.47,27.01,25.15,25.86,25.15,1131000000,0.203,0.243,4.83,4312000000,853000000,4203000000,16,4.9730848861283645,1.03
2023-10-16,GM,30.06,0.89,1,30.71,35.89,35.11,35.67,32.9,2932000000,0.069,0.068,2.21,35842000000,3064000000,44131000000,16,13.60180995475113,0.81
2023-10-16,UAL,39.53,0.9,0,40.43,46.86,49.61,48.03,46.4,12000000,0.079,0.139,3.47,10042000000,1138000000,14484000000,16,11.39193083573487,0.69
2023-10-16,NRG,41.54,1.09,1,39.77,35.69,37.15,35.24,38.28,14000000,0.043,0.13,1.42,6421000000,343000000,7946000000,16,29.253521126760564,0.81
2023-10-16,KR,44.29,0.94,0,44.32,46.63,46.59,46.66,46.07,8000000,-0.005,0.011,-0.25,26475000000,-180000000,33853000000,65,-177.16,0.78
2023-10-16,AAP,53.59,1.17,1,51.98,107.11,67.37,100.71,61.72,-1216000,-0.018,0.01,-0.82,1732420000,-48633000,2719079000,9,-65.35365853658537,0.64
2023-10-16,CNC,71.12,1.0,0,70.26,70.51,66.82,68.32,66.87,3924000000,0.012,0.019,0.87,30335000000,469000000,38042000000,16,81.74712643678161,0.8
2023-10-16,CVS,71.49,1.03,0,70.65,78.37,70.43,75.19,69.83,83000000,0.025,0.052,1.76,76187000000,2261000000,89487000000,16,40.61931818181818,0.85
2022-03-09,AAL,14.3,0.98,1,15.53,19.87,18.14,19.6,17.29,1211000000,-0.099,-0.077,-1.44,8663000000,-931000000,9427000000,68,-9.930555555555557,0.92
2022-03-09,GPS,14.38,1.17,0,14.35,24.84,18.63,23.55,16.5,1515000000,-0.004,0.031,-0.04,3002000000,-16000000,4525000000,39,-320.2672605790646,0.66
2022-03-09,CAH,53.19,0.32,1,53.28,53.73,50.74,52.6,52.6,13000000,0.001,0.012,0.17,43841000000,49000000,45457000000,68,312.8823529411764,0.96
2022-03-09,KSS,54.0,1.06,1,56.02,54.13,53.51,53.27,54.89,207000000,0.046,0.101,2.23,4155000000,299000000,6499000000,39,24.2152466367713,0.64
2022-03-09,PSX,79.35,1.09,1,83.24,78.92,79.66,78.45,84.29,150000000,0.039,0.071,2.89,29814000000,1273000000,32604000000,68,27.456747404844286,0.91
2022-03-09,VLO,87.14,0.99,1,84.83,75.28,78.85,75.06,83.67,-163000000,0.028,0.04,2.47,34005000000,1009000000,35903000000,68,35.27935222672065,0.95
2022-03-09,MCK,276.53,0.59,1,275.22,217.09,241.46,219.67,261.76,20000000,-0.0,0.008,-0.05,65186000000,-7000000,68614000000,68,-5985.497835497835,0.95
2024-03-15,F,12.06,1.05,0,12.3,12.2,11.46,12.24,12.01,-1802000000,-0.011,0.005,-0.13,43432000000,-526000000,45962000000,75,-92.76923076923077,0.94
2024-03-15,AAL,13.96,0.7,0,14.45,14.3,13.61,14.38,14.52,-1519000000,0.001,0.094,0.03,10435000000,19000000,13062000000,75,481.3793103448276,0.8
2024-03-15,DXC,20.64,1.16,0,20.66,23.06,22.23,22.85,21.95,39000000,0.046,0.168,0.82,2636000000,156000000,3399000000,75,25.170731707317074,0.78
2024-03-15,WBA,20.82,0.48,0,20.99,26.02,22.41,24.67,22.31,13067000000,-0.159,0.014,-6.85,30012000000,-5908000000,37052000000,15,-3.0394160583941607,0.81
2024-03-15,GM,40.69,1.09,1,39.96,34.64,34.65,34.81,38.07,8442000000,0.049,0.105,1.59,39670000000,2101000000,42979000000,75,25.591194968553456,0.92
2024-03-15,UAL,43.62,1.05,1,43.39,44.95,40.86,45.02,42.44,1325000000,0.044,0.127,1.83,12010000000,599000000,13626000000,75,23.83606557377049,0.88
2024-03-15,KR,56.06,1.09,0,53.87,46.8,46.28,46.36,48.04,-965000000,0.02,0.062,1.02,29372000000,736000000,37064000000,41,54.96078431372549,0.79
2024-03-15,CNC,75.47,1.02,0,77.41,70.28,74.95,71.06,77.14,4571000000,0.001,-0.005,0.08,31595000000,45000000,39460000000,75,896.3182897862233,0.8
2024-03-15,CVS,77.4,1.04,0,75.14,72.02,73.76,72.15,75.78,311000000,0.022,0.049,1.59,79937000000,2046000000,93545000000,75,48.67924528301887,0.85
2024-03-15,WHR,105.12,1.13,0,106.94,126.93,112.19,125.85,111.03,-1000000,0.097,0.065,8.91,4296000000,491000000,5088000000,75,11.797979797979798,0.84
2024-03-15,CAH,110.61,0.47,0,112.77,95.14,104.61,97.37,107.38,16000000,0.006,0.012,1.44,55599000000,353000000,57445000000,75,76.8125,0.97
2023-04-25,F,11.77,1.14,1,12.29,12.96,12.51,13.12,12.27,-73000000,0.042,0.1,0.44,36855000000,1757000000,41474000000,25,26.75,0.89
2023-04-25,AAL,12.84,0.69,1,13.16,14.36,14.75,14.3,14.7,1460000000,0.001,0.046,0.02,9840000000,10000000,12189000000,25,839.2156862745098,0.81
2023-04-25,LNC,20.45,0.91,1,21.13,39.2,28.98,37.64,25.27,-4901000000,-0.231,-0.285,-5.2,0,-881000000,3814000000,25,-3.9326923076923075,0.0
2023-04-25,KSS,21.44,0.39,1,23.02,29.71,27.13,28.15,25.28,200000000,-0.045,-0.017,-2.48,4444000000,-273000000,6019000000,87,-8.645161290322582,0.74
