date,symbol,price,ratio,to_buy,sma_10d,sma_50w,sma_100d,sma_200d,sma_50d,other_expenses,NetProfitMargin,ebitdaMargin,costOfRevenue,revenues,revenues_lag_days,eps,MarkRevRatio,fcf,ocfToNetinc,cashAtEndOfPeriod,price_to_sma10,price_to_sma50,price_to_sma100,price_to_sma200,sma10_to_sma50,sma50_to_sma200,sma10_to_sma100,price_to_50w,sma50_to_50w,momentum_score,cost_revenue_ratio,otherExpRevenue,peRatio
2023-11-02,HIMS,6.08,6.58,1,6.02,8.17,7.29,8.5,6.34,1638000,-0.033,-0.027,39391000.0,226699000,33,-0.04,5.67,31111000,-3.33,58852000,1.01,0.96,0.83,0.72,0.95,0.75,0.83,0.74,0.78,0.917,0.17,0.01,-152.0
2023-11-02,UA,6.59,5.22,1,6.55,7.78,6.77,7.53,6.5,-6429000,0.07,0.115,814715000.0,1566710000,33,0.25,1.98,107765000,0.58,673617000,1.01,1.01,0.97,0.87,1.01,0.86,0.97,0.85,0.84,0.962,0.52,-0.0,26.36
2023-11-02,UAA,7.01,5.22,1,7.02,8.63,7.36,8.31,7.05,-6429000,0.07,0.115,814715000.0,1566710000,33,0.25,1.98,107765000,0.58,673617000,1.0,0.99,0.95,0.84,1.0,0.85,0.95,0.81,0.82,0.9430000000000001,0.52,-0.0,28.04
2023-11-02,GPS,13.53,5.93,1,12.69,10.99,10.44,10.49,11.23,1306000000,0.058,0.1,2211000000.0,3767000000,5,0.59,1.34,393000000,1.39,1379000000,1.07,1.2,1.3,1.29,1.13,1.07,1.22,1.23,1.02,1.13,0.59,0.35,22.93
2023-11-02,KSS,23.61,6.13,1,22.15,24.9,23.78,24.36,21.92,0,0.015,0.085,2349000000.0,4054000000,5,0.54,0.64,308000000,2.56,190000000,1.07,1.08,0.99,0.97,1.01,0.9,0.93,0.95,0.88,1.022,0.58,0.0,43.72
2023-11-02,CFG,24.9,6.77,1,23.59,32.04,27.47,30.44,26.25,-2124000000,0.214,0.273,25450000.0,2014000000,33,0.85,5.76,1041000000,2.34,15400000000,1.06,0.95,0.91,0.82,0.9,0.86,0.86,0.78,0.82,0.9440000000000001,0.01,-1.05,29.29
2023-11-02,KR,45.4,6.78,0,44.57,46.52,46.34,46.61,45.15,8000000,-0.005,0.011,26475000000.0,33853000000,82,-0.25,0.96,2430000000,-8.4,2420000000,1.02,1.01,0.98,0.97,0.99,0.97,0.96,0.98,0.97,1.002,0.78,0.0,-181.6
2023-11-02,AAP,52.94,6.92,1,50.65,102.58,63.51,94.23,56.8,-1216000,-0.018,0.01,1732420000.0,2719079000,26,-0.82,1.16,237290000,-5.16,317528000,1.05,0.93,0.83,0.56,0.89,0.6,0.8,0.52,0.55,0.8590000000000001,0.64,-0.0,-64.56
2023-11-02,L,65.14,7.57,1,63.64,59.92,62.14,60.31,63.45,-2864000000,0.065,0.044,860000000.0,3897000000,33,1.12,3.74,1441000000,4.63,762000000,1.02,1.03,1.05,1.08,1.0,1.05,1.02,1.09,1.06,1.037,0.22,-0.73,58.16
2023-11-02,BBY,66.35,7.94,1,66.66,77.48,75.51,76.65,70.4,0,0.027,0.06,7524000000.0,9756000000,5,1.21,1.47,326000000,0.41,1059000000,1.0,0.94,0.88,0.87,0.95,0.92,0.88,0.86,0.91,0.948,0.77,0.0,54.83
2023-11-02,CNC,68.93,4.9,1,69.19,69.95,67.37,67.77,68.14,3924000000,0.012,0.019,30335000000.0,38042000000,33,0.87,0.97,1157000000,2.15,18450000000,1.0,1.01,1.02,1.02,1.02,1.01,1.03,0.99,0.97,1.001,0.8,0.1,79.23
2023-11-02,HIG,73.62,5.33,1,71.81,72.57,72.09,72.02,71.89,-4129000000,0.106,0.132,1226000000.0,6168000000,33,2.14,3.58,1823000000,2.72,181000000,1.03,1.02,1.02,1.02,1.0,1.0,1.0,1.01,0.99,1.018,0.2,-0.67,34.4
2023-11-02,DFS,85.2,7.81,1,81.85,101.61,98.45,101.62,87.7,-4014000000,0.169,0.22,0.0,4044000000,33,2.59,5.27,2466000000,3.5,9233000000,1.04,0.97,0.87,0.84,0.93,0.86,0.83,0.84,0.86,0.9580000000000001,0.0,-0.99,32.9
2023-11-02,PRU,91.67,4.36,1,90.31,92.65,92.93,90.9,94.12,-3427000000,-0.097,-0.127,0.0,8352000000,33,-2.23,3.95,2840000000,-3.59,16929000000,1.02,0.97,0.99,1.01,0.96,1.04,0.97,0.99,1.02,0.9989999999999999,0.0,-0.41,-41.11
2023-11-02,RJF,99.41,4.95,1,95.35,102.35,103.05,100.54,101.08,1505000000,0.144,0.651,69000000.0,3012000000,33,2.07,6.88,485000000,1.0,12548000000,1.04,0.98,0.96,0.99,0.94,1.01,0.93,0.97,0.99,0.9989999999999999,0.02,0.5,48.02
2023-11-02,PGR,158.77,6.41,1,155.96,135.72,136.15,136.62,144.14,-2685600000,0.072,0.095,0.0,15553400000,33,1.9,5.97,3455800000,3.05,138400000,1.02,1.1,1.17,1.16,1.08,1.06,1.15,1.17,1.06,1.077,0.0,-0.17,83.56
2023-11-02,CB,218.6,7.27,1,213.05,205.29,203.02,202.6,209.42,-12447000000,0.147,0.185,0.0,13872000000,33,5.0,6.42,4310000000,2.29,2778000000,1.03,1.04,1.08,1.08,1.02,1.03,1.05,1.06,1.02,1.037,0.0,-0.9,43.72
2023-11-02,HCA,227.92,7.3,1,228.74,262.43,267.38,265.74,251.37,0,0.067,0.178,2417000000.0,16213000000,33,3.98,3.73,3626000000,1.94,891000000,1.0,0.91,0.85,0.86,0.91,0.95,0.86,0.87,0.96,0.9430000000000001,0.15,0.0,57.27
2023-06-20,UA,6.92,6.85,1,7.02,8.03,8.13,8.02,7.37,-10520000,0.122,0.05,792009000.0,1398913000,81,0.38,2.39,-44137000,-0.49,727726000,0.99,0.94,0.85,0.86,0.95,0.92,0.86,0.86,0.92,0.9430000000000001,0.57,-0.01,18.21
2023-06-20,UAA,7.53,6.85,1,7.65,9.01,9.06,9.01,8.07,-10520000,0.122,0.05,792009000.0,1398913000,81,0.38,2.39,-44137000,-0.49,727726000,0.98,0.93,0.83,0.84,0.95,0.9,0.84,0.84,0.9,0.9319999999999999,0.57,-0.01,19.82
2023-06-20,GPS,8.95,6.66,1,9.48,10.74,10.37,10.91,8.88,1224000000,-0.005,0.039,2062000000.0,3276000000,52,-0.05,1.01,132000000,-0.83,1198000000,0.94,1.01,0.86,0.82,1.07,0.81,0.91,0.83,0.83,0.933,0.63,0.37,-179.0
2023-06-20,RF,17.87,6.28,1,18.3,20.68,19.49,20.61,17.63,-1668000000,0.314,0.519,0.0,1950000000,81,0.63,8.61,214000000,0.32,8833000000,0.98,1.01,0.92,0.87,1.04,0.86,0.94,0.86,0.85,0.956,0.0,-0.86,28.37
2023-06-20,KSS,22.59,6.73,1,22.72,26.92,24.52,26.44,21.39,188000000,-0.02,0.08,2047000000.0,3571000000,52,-0.64,0.7,-108000000,-14.43,286000000,0.99,1.06,0.92,0.85,1.06,0.81,0.93,0.84,0.79,0.9590000000000001,0.57,0.05,-35.3
2023-06-20,HRB,32.9,4.15,1,32.17,38.19,34.41,37.66,32.1,245878000,0.307,0.435,654650000.0,2093649000,81,4.23,2.39,1294010000,1.99,934345000,1.02,1.02,0.96,0.87,1.0,0.85,0.93,0.86,0.84,0.968,0.31,0.12,7.78
2023-06-20,UNM,45.55,4.14,1,45.53,40.96,42.41,41.77,43.51,-2772900000,0.118,0.164,65599999.0,3036100000,81,1.81,2.96,179700000,0.42,123100000,1.0,1.05,1.07,1.09,1.05,1.04,1.07,1.11,1.06,1.043,0.02,-0.91,25.17
2023-06-20,KR,45.83,5.03,0,46.18,46.65,46.97,46.54,47.79,957000000,0.021,0.058,35080000000.0,45165000000,31,1.33,0.73,3888000000,2.97,2632000000,0.99,0.96,0.98,0.98,0.97,1.03,0.98,0.98,1.02,0.9829999999999999,0.78,0.02,34.46
