date,symbol,price,evebitda,future_eps,to_buy
2021-03-12,ALK,68.02,-24.7710571,-3.63086,0
2021-03-12,UAL,56.29,-24.472860523038605,-7.08324,1
2021-03-12,BA,269.19,-28.97755239638046,-1.04877,0
2021-03-12,AAL,23.37,-28.76913051816239,-4.30477,0
2021-03-12,AIV,5.3,-20.02622739181612,-0.006455,1
2021-03-12,TAP,46.63,-16.57638261851016,-0.096826,1
2021-03-12,HRB,21.17,-28.755862822362488,-1.41,1
2021-07-21,CTVA,42.21,16.726747621712367,-0.31299,0
2021-07-21,HRB,23.99,10.683110474154317,-1.02714,0
2019-11-12,APA,23.8,20.91697553827461,-0.066786,1
2022-03-23,FSLR,77.99,29.39101078939322,-0.42766,0
2024-08-15,CTVA,52.76,20.84810822281167,-0.30302,1
2024-08-15,HRB,57.49,21.320670365012077,-1.2075,1
2024-08-19,HRB,65.32,24.07421727317179,-1.2075,0
2022-12-02,ASTS,5.82,-14.615058512262134,-0.21062,0
2021-12-13,ASTS,8.5,-26.43763928212622,-0.21062,0
2023-04-06,HOOD,10.01,-15.67059726293996,-0.013226,0
2022-11-22,ASTS,6.48,-16.809186221634274,-0.21062,0
2023-02-15,ASTS,6.49,-18.443038183444973,-0.21062,0
2021-12-30,ASTS,8.14,-24.63429632843182,-0.21062,0
2021-12-22,ASTS,8.46,-26.237267832678786,-0.21062,0
2022-01-04,ASTS,7.94,-20.38063402976428,-0.21062,0
2022-08-24,MSTR,27.44,-6.029670238995039,-0.015,0
2022-12-01,ASTS,5.75,-14.38234799531902,-0.21062,0
2023-04-17,HOOD,9.88,-15.427019556935818,-0.013226,0
2022-08-25,MSTR,27.28,-6.009764657603273,-0.015,0
2022-01-11,ASTS,7.25,-17.63836854111598,-0.21062,0
2022-04-01,ASTS,10.59,-29.59107681224385,-0.21062,0
2022-11-16,ASTS,6.7,-17.54056212475832,-0.21062,0
2021-12-17,ASTS,8.41,-25.98680354370262,-0.21062,0
2022-01-03,ASTS,8.22,-21.493437411739148,-0.21062,0
2021-12-15,ASTS,8.41,-25.98680354370262,-0.21062,0
2022-11-23,ASTS,6.66,-17.407584690139412,-0.21062,0
2022-01-07,ASTS,7.46,-18.472971068544737,-0.21062,0
2023-02-27,ASTS,6.34,-17.890426184315526,-0.21062,0
2021-12-28,ASTS,8.02,-24.033181980089505,-0.21062,0
2021-12-31,ASTS,7.94,-20.38063402976428,-0.21062,0
2023-04-13,HOOD,10.07,-15.783017743271222,-0.013226,0
2022-12-05,ASTS,5.58,-13.817193879108578,-0.21062,0
2022-11-17,ASTS,6.76,-17.740028289406737,-0.21062,0
2022-03-25,ASTS,10.35,-29.95869174783648,-0.21062,0
2023-04-04,HOOD,9.76,-15.202178596273292,-0.013226,0
2023-04-11,HOOD,9.96,-15.576913530020704,-0.013226,0
2022-11-28,ASTS,6.35,-16.377009565482854,-0.21062,0
2023-04-05,HOOD,9.75,-15.183441850931676,-0.013226,0
2022-03-22,ASTS,10.22,-29.442033023137924,-0.21062,0
2023-02-17,ASTS,6.47,-18.36935656421541,-0.21062,0
2023-11-14,PNW,72.42,24.58497589171176,-0.13126,0
2023-11-14,NCLH,14.03,25.61788409707108,-0.11794,1
2023-11-14,CCL,13.89,20.942508849557523,-0.12647,1
2023-11-14,VST,35.22,17.09979063643068,-0.039503,1
2022-07-06,UBER,21.5,-22.680109185832567,-0.17511,1
2022-07-06,COIN,51.71,-8.98099880408545,-2.37683,1
2022-07-06,CTVA,52.04,20.416748344370863,-0.22066,1
2022-07-06,HRB,36.75,19.871868737113772,-1.085,1
2023-11-28,PNW,74.34,24.877177835656138,-0.13126,0
2023-11-28,NCLH,14.48,25.87382648117349,-0.11794,1
2023-11-28,LYV,84.54,29.68914137468867,-1.03193,1
2023-11-28,CCL,14.63,21.35605752212389,-0.12647,1
2023-11-28,VST,35.22,17.09979063643068,-0.039503,1
2021-10-19,RKLB,12.36,-25.60904682985983,-0.05,1
2021-10-19,UAL,46.22,21.482821967410985,-2.09109,1
2021-10-19,CCL,22.34,-27.524054200542004,-1.44433,1
2023-09-14,CTVA,52.61,23.96342754491018,-0.2404,0
2023-09-14,HRB,39.41,15.87556005468009,-1.1225,1
2023-09-14,CCL,15.63,21.914907079646017,-0.12647,0
2024-02-22,UAL,45.26,24.14263023872679,-0.54184,1
2024-02-22,AIV,7.65,-17.405120290548545,-0.09,0
2022-06-13,UBER,21.57,-8.530516383751081,-0.26835,1
2022-06-13,COIN,52.01,-16.254649778253913,-2.47179,1
2023-08-24,CTVA,49.65,22.70782035928144,-0.2404,0
2023-08-24,HRB,39.35,15.854803428384926,-1.1225,1
2022-04-28,UBER,32.82,-12.350467982713916,-0.26835,0
2021-08-27,CTVA,44.18,17.535693340794626,-0.31299,0
2021-08-27,HRB,25.82,11.909886138222552,-1.02714,0
2021-04-29,F,11.26,28.762371284716583,-0.035545,1
2021-04-29,HRB,22.34,-29.71696180793508,-1.02714,1
2021-04-29,OXY,25.94,20.311690082644628,0.00899,1
2021-08-18,CTVA,43.94,17.437141578063795,-0.31299,0
2021-08-18,HRB,25.39,11.621627376511729,-1.02714,0
2022-06-24,UBER,23.03,-9.026261213483146,-0.26835,1
2022-06-24,COIN,62.71,-20.519265451436794,-2.47179,1
2021-04-15,F,12.24,29.397771642033454,-0.035545,1
2021-04-15,HRB,21.96,-29.40481,-1.02714,1
