date,symbol,price,evebitda,future_eps,to_buy,sma_10d,sma_100d,sma_200d,sma_50d,std_10d,sma_10d_1weeks_ago,sma_10d_1months_ago,sma_10d_2months_ago,sma_10d_3months_ago,sma_10d_4months_ago,sma_10d_5months_ago,sma_10d_6months_ago,sma_10d_7months_ago,sma_10d_11months_ago,RnD_expenses,revenues,GP,netIncome,dividendsPaid,sector,ebitda,income_lag_days,marketCap,total_debt,balance_lag_days,cashcasheq,netDebt,curr_est_eps,curr_est_rev,future_est_rev,EV,max_in_4M,max4M_lag,min_in_4M,min4M_lag,max_minus_min,var_price_to_minmax,maxPercen_4M,max_in_1M,max1M_lag,min_in_1M,min1M_lag,max_minus_min1M,var_price_to_minmax1M,maxPercen_1M,max_in_2W,max2W_lag,min_in_2W,min2W_lag,max_minus_min2W,var_price_to_minmax2W,maxPercen_2W,max_in_8M,max8M_lag,dist_max8M_4M,min_in_8M,min8M_lag,dist_min8M_4M,max_minus_min8M,var_price_minmax8M,maxPercen_8M,Spread1Mby8M,Spread4Mby8M,Spread1Mby4M,debtToPrice,markRevRatio,eps_growth,pe,peg,PS_to_PEG,netDebtToPrice,dividend_payout_ratio,EVGP,EVRevenues,fwdPriceTosale,fwdPriceTosale_diff,var_sma50D,var_sma100D,var_sma10D,var_sma10D_50D,var_sma50D_100D,var_sma50D_200D,var_sma10D_100D,var_sma10D_200D,relative_std,deriv_1w,deriv_1m,deriv_2m,deriv_3m,deriv_4m,deriv_5m,deriv_6m,deriv_max4M,deriv_min4M,deriv_max8M,deriv_min8M,deriv_1w1m_growth,deriv_1m2m_growth,deriv_3m4m_growth,1W_return,price_to_SMA10d_1W,price_to_SMA10d_5M,1M_return,2M_return,3M_return,4M_return,5M_return,6M_return,7M_return,1y_return,1M_1W_growth,2M_1W_growth,1M1W_2M1W_growth,2M_1M_growth,3M_2M_growth,4M_3M_growth,1Y_6M_growth,price_to_sma_10d_ratio,price_to_sma_50d_ratio,price_to_sma_100d_ratio,price_to_sma_200d_ratio,sma_10d_to_sma_50d_ratio,sma_10d_to_sma_100d_ratio,sma_10d_to_sma_200d_ratio,sma_50d_to_sma_100d_ratio,sma_50d_to_sma_200d_ratio,sma_100d_to_sma_200d_ratio,golden_cross,death_cross,smas_above_count,price_above_all_sma,price_below_all_sma,combined_valuation_score,market_cap_quintile,return_to_pe,sma10_yoy_growth
2021-07-21,CTVA,42.21,16.73,-0.31,0,42.5,45.78,42.2,44.34,0.82,43.68,44.21,45.72,47.3,46.47,44.18,43.42,39.03,27.53,293000000,5627000000,2617000000,970000000,-95000000.0,basic materials,1787000000,21,30973698000,1778000000,21,2861000000,-1083000000,1.27,5345808217,2031820805,29890698000,49.79,78,40.93,2,8.86,0.14,0.18,44.62,20,40.93,2,3.69,0.35,0.06,43.8,9,40.93,2,2.87,0.45,0.04,49.79,78,0,37.79,240,238,12.0,0.37,0.18,0.31,0.74,0.42,0.06,5.5,-1.25,33.34,-26.73,-4.86,-0.03,-0.1,11.42,5.31,15.24,9.74,-0.05,-0.08,-0.01,-0.04,-0.03,0.05,-0.07,0.01,0.02,-5.88,-2.0,-1.75,-1.7,-1.06,-0.39,-0.2,-0.1,0.64,-0.1,0.02,1.94,0.14,0.59,-0.03,0.97,0.96,-0.05,-0.08,-0.11,-0.09,-0.04,-0.03,0.08,0.53,-0.01,-0.04,-0.73,-0.03,-0.03,0.02,0.58,-0.01,-0.05,-0.08,0.0,-0.04,-0.07,0.01,-0.03,0.05,0.08,1,0,1,0,0,6.01,4,-0.0,54.38
2021-07-21,HRB,23.99,10.68,-1.03,0,23.83,22.96,20.25,24.35,0.28,23.75,24.89,24.47,22.26,20.71,19.37,16.33,15.88,14.98,61596000,253761000,207913000,101437000,-47181000.0,consumer cyclical,265673000,21,4272595009,0,21,1434381000,-1434381000,-1.41,470830000,168718090,2838214009,26.19,40,19.82,119,6.37,0.65,0.09,24.42,28,23.2,23,1.22,0.65,0.02,24.2,9,23.34,2,0.86,0.76,0.01,26.19,40,0,15.16,211,92,11.03,0.8,0.09,0.11,0.58,0.19,0.0,16.84,-0.27,-17.01,62.66,3.72,-0.34,-0.47,13.65,11.18,25.32,8.49,-0.01,0.04,0.01,-0.02,0.06,0.2,0.04,0.18,0.01,0.96,-0.9,-0.24,0.58,0.82,0.92,1.28,-0.06,0.04,-0.06,0.04,-2.07,2.75,-0.3,0.01,1.01,1.24,-0.04,-0.02,0.08,0.16,0.24,0.47,0.51,0.6,-0.05,-0.03,0.56,0.02,0.1,0.07,0.09,0.01,-0.01,0.04,0.18,-0.02,0.04,0.18,0.06,0.2,0.13,1,0,3,0,0,19.77,1,-0.0,59.08
2022-03-23,FSLR,77.99,29.39,-0.43,0,76.67,87.57,90.44,74.83,1.97,74.91,69.6,82.45,91.93,108.33,105.37,100.26,95.28,81.25,29881000,907319000,246489000,131370000,0.0,energy,238753000,82,8227944999,239901000,82,1450654000,-1210753000,1.07,917694666,588727412,7017191999,108.28,119,64.9,28,43.38,0.3,0.39,79.52,15,67.37,20,12.15,0.87,0.02,79.08,1,71.99,9,7.09,0.85,0.01,121.14,142,23,64.9,28,0,56.24,0.23,0.55,0.22,0.77,0.28,0.03,9.07,-1.4,72.67,-51.96,-5.73,-0.15,0.0,28.47,7.73,13.98,4.91,0.04,-0.11,0.02,0.02,-0.15,-0.17,-0.12,-0.15,0.03,12.32,8.39,-2.23,-4.65,-7.59,-5.48,-3.71,-0.25,0.47,-0.3,0.47,0.47,-4.76,-0.39,0.04,1.04,0.74,0.12,-0.05,-0.15,-0.28,-0.26,-0.22,-0.18,-0.04,0.08,-0.09,-1.83,-0.16,-0.1,-0.15,0.23,0.02,0.04,-0.11,-0.14,0.02,-0.12,-0.15,-0.15,-0.17,-0.03,0,1,2,0,0,16.39,2,-0.0,-5.64
2024-08-15,CTVA,52.76,20.85,-0.3,1,51.57,54.47,51.89,52.96,0.51,53.19,52.25,52.92,57.21,56.45,54.65,53.53,47.12,51.03,357000000,6112000000,3012000000,1053000000,-111000000.0,basic materials,1885000000,46,36715684000,4724000000,46,2141000000,2583000000,1.72,6146141222,2695481221,39298684000,57.83,98,50.72,37,7.11,0.29,0.1,56.1,15,50.78,8,5.32,0.37,0.06,52.76,0,50.78,8,1.98,1.0,0.0,57.83,98,0,44.41,210,173,13.42,0.62,0.1,0.4,0.53,0.75,0.13,6.01,-1.18,30.66,-26.07,-4.34,0.07,-0.11,13.05,6.43,13.62,7.61,-0.0,-0.03,0.02,-0.03,-0.03,0.02,-0.05,-0.01,0.01,-1.72,0.51,-0.08,-1.48,-0.92,-0.38,-0.13,-0.05,0.06,-0.05,0.04,-4.37,-7.37,0.61,-0.01,0.99,0.97,0.01,-0.0,-0.08,-0.07,-0.03,-0.01,0.12,0.03,0.02,0.01,2.53,-0.01,-0.07,0.01,0.05,0.02,-0.0,-0.03,0.02,-0.03,-0.05,-0.01,-0.03,0.02,0.05,1,0,2,0,0,5.88,5,-0.0,1.06
2024-08-15,HRB,57.49,21.32,-1.21,1,56.06,51.68,49.15,54.43,1.07,56.38,54.15,50.57,50.38,46.81,48.21,46.93,47.11,39.4,0,1062630000,556257000,257817000,-44648000.0,consumer cyclical,396754000,46,8021292250,1491095000,46,1053326000,437769000,1.74,1027591666,187655333,8459061250,58.07,16,46.5,111,11.57,0.95,0.01,58.07,16,54.35,8,3.72,0.84,0.01,57.49,0,54.35,8,3.14,1.0,0.0,58.07,16,0,45.44,216,105,12.63,0.95,0.01,0.29,0.92,0.32,0.19,7.55,-1.69,32.99,-19.49,-2.58,0.05,-0.17,15.21,7.96,42.74,35.2,0.06,0.11,0.03,0.03,0.05,0.11,0.08,0.14,0.02,4.44,3.34,3.46,2.37,2.67,1.86,1.76,-0.04,0.1,-0.04,0.06,0.33,-0.03,-0.11,0.02,1.02,1.19,0.06,0.14,0.14,0.23,0.19,0.23,0.22,0.46,0.04,0.11,-0.64,0.07,0.0,0.08,0.19,0.03,0.06,0.11,0.17,0.03,0.08,0.14,0.05,0.11,0.05,1,0,4,1,0,9.57,2,0.0,42.28
2022-12-02,ASTS,5.82,-14.62,-0.21,0,6.29,8.12,8.02,6.87,0.35,7.07,6.43,7.62,11.79,6.62,6.49,7.83,7.72,8.22,28035000,4168000,1643000,-32052000,0.0,technology,-39308000,63,760539720,12818000,63,198869000,-186051000,-1.03,4559854,3675000,574488720,13.93,108,5.75,1,8.18,0.01,1.39,8.83,21,5.75,1,3.08,0.02,0.52,6.66,9,5.75,1,0.91,0.08,0.14,13.93,108,0,5.75,1,0,8.18,0.01,1.39,0.38,1.0,0.38,0.02,182.47,-0.8,-5.65,7.1,0.04,-0.24,-0.0,349.66,137.83,206.95,24.48,-0.15,-0.28,-0.07,-0.08,-0.15,-0.14,-0.23,-0.22,0.06,-5.0,-0.61,-0.9,-1.99,-0.2,-0.13,-0.34,-0.08,0.07,-0.08,0.07,7.2,-0.32,8.95,-0.18,0.82,0.9,-0.09,-0.24,-0.51,-0.12,-0.1,-0.26,-0.25,-0.29,0.1,-0.07,-2.38,-0.16,-0.35,0.78,-0.05,-0.07,-0.15,-0.28,-0.27,-0.08,-0.23,-0.22,-0.15,-0.14,0.01,0,1,0,0,1,117.04,1,0.09,-23.48
2021-12-13,ASTS,8.5,-26.44,-0.21,0,9.16,10.86,10.56,10.79,0.46,10.09,12.18,10.46,12.08,10.48,12.63,8.87,7.9,12.99,12914000,2450000,347000,4115000,0.0,technology,-21898000,74,932393425,6928000,74,360390000,-353462000,-1.03,4559854,3675000,578931425,12.95,87,8.13,116,4.82,0.08,0.52,12.52,28,8.42,7,4.1,0.02,0.47,9.96,13,8.42,7,1.54,0.05,0.17,13.53,160,73,7.08,195,79,6.45,0.22,0.59,0.64,0.75,0.85,0.01,380.57,-0.8,-8.25,10.37,0.03,-0.38,0.0,1668.39,236.3,253.71,-126.86,-0.21,-0.22,-0.07,-0.15,-0.01,0.02,-0.16,-0.13,0.05,-6.36,-3.68,-0.98,-1.19,-0.5,-0.83,-0.06,-0.05,0.0,-0.03,0.01,0.73,2.76,1.41,-0.16,0.84,0.67,-0.3,-0.19,-0.3,-0.19,-0.33,-0.04,0.08,-0.35,-0.17,-0.04,3.85,0.16,-0.13,0.15,-0.32,-0.07,-0.21,-0.22,-0.2,-0.15,-0.16,-0.13,-0.01,0.02,0.03,1,0,0,0,1,556.84,1,0.04,-29.48
2023-04-06,HOOD,10.01,-15.67,-0.01,0,9.35,9.38,9.61,9.74,0.51,8.93,9.83,10.32,8.03,9.48,11.44,10.1,9.47,10.2,199000000,441000000,393000000,-511000000,0.0,technology,-483000000,6,9058898478,3969000000,6,5459000000,-1490000000,-0.62,424756137,472936191,7568898478,11.14,63,7.7,100,3.44,0.67,0.11,10.01,0,8.57,14,1.44,1.0,0.0,10.01,0,8.61,10,1.4,1.0,0.0,12.33,154,91,7.7,100,0,4.63,0.5,0.23,0.31,0.74,0.42,0.44,20.54,-0.98,-16.24,16.6,0.81,-0.16,-0.0,19.26,17.16,19.15,-1.39,0.03,0.07,0.07,-0.04,0.04,0.01,-0.0,-0.03,0.05,4.32,0.18,-0.16,0.66,0.13,-0.29,-0.01,-0.02,0.02,-0.02,0.02,23.0,-2.16,3.98,0.12,1.12,0.88,0.02,-0.03,0.25,0.06,-0.12,-0.01,0.06,-0.02,-0.09,-0.13,-0.32,-0.05,0.29,-0.15,-0.01,0.07,0.03,0.07,0.04,-0.04,-0.0,-0.03,0.04,0.01,-0.02,1,0,4,1,0,6.54,3,-0.02,-8.33
2022-11-22,ASTS,6.48,-16.81,-0.21,0,7.14,8.14,8.02,7.23,0.74,7.23,7.06,9.25,11.59,6.49,6.55,7.35,8.82,8.45,28035000,4168000,1643000,-32052000,0.0,technology,-39308000,53,846786492,12818000,53,198869000,-186051000,-1.03,4559854,3675000,660735492,13.93,98,5.91,26,8.02,0.07,1.15,8.83,11,5.91,26,2.92,0.2,0.36,8.83,11,6.48,0,2.35,0.0,0.36,13.93,98,0,5.91,26,0,8.02,0.07,1.15,0.36,1.0,0.36,0.02,203.16,-0.8,-6.29,7.91,0.04,-0.22,-0.0,402.15,158.53,230.42,27.25,-0.1,-0.2,-0.09,-0.01,-0.11,-0.1,-0.12,-0.11,0.11,-3.0,-0.58,-1.38,-1.7,-0.0,-0.01,-0.14,-0.08,0.02,-0.08,0.02,4.17,-0.58,680.33,-0.1,0.9,0.99,-0.08,-0.3,-0.44,-0.0,-0.01,-0.12,-0.27,-0.23,0.02,-0.22,-1.11,-0.24,-0.2,0.79,-0.13,-0.09,-0.1,-0.2,-0.19,-0.01,-0.12,-0.11,-0.11,-0.1,0.01,0,1,0,0,1,134.59,1,0.07,-15.5
2023-02-15,ASTS,6.49,-18.44,-0.21,0,6.05,5.9,7.09,4.93,0.18,5.65,4.84,4.57,7.23,7.25,10.43,9.0,6.45,7.99,30655000,2393000,-13611000,-25089000,0.0,technology,-41353000,46,988736958,12526000,46,238588000,-226062000,-1.03,4559854,3675000,762674958,8.83,96,3.65,50,5.18,0.55,0.36,6.49,0,5.02,27,1.47,1.0,0.0,6.49,0,5.87,13,0.62,1.0,0.0,13.93,183,87,3.65,50,0,10.28,0.28,1.15,0.14,0.5,0.28,0.01,413.18,-0.8,-6.3,7.92,0.02,-0.23,-0.0,-56.03,318.71,269.04,-144.13,0.32,0.1,0.07,0.23,-0.16,-0.3,0.03,-0.15,0.03,3.36,1.65,0.96,-0.25,-0.19,-0.79,-0.42,-0.02,0.06,-0.04,0.06,1.04,0.72,0.3,0.15,1.15,0.62,0.34,0.42,-0.1,-0.1,-0.38,-0.28,0.01,-0.19,0.17,0.24,-0.29,0.06,-0.37,-0.0,0.13,0.07,0.32,0.1,-0.08,0.23,0.03,-0.15,-0.16,-0.3,-0.17,0,1,3,0,0,-18.14,1,0.02,-24.28
