date,symbol,price,pe_ratio,to_buy
2021-01-28,NCLH,24.16,-9.625498007968128,1
2021-01-28,AAL,18.1,-4.750656167979003,1
2021-01-28,HRB,17.58,-14.89830508474576,1
2021-01-28,MRO,7.56,-17.58139534883721,1
2021-01-28,UAL,42.55,-6.658841940532081,1
2021-01-28,ALK,50.67,-14.602305475504322,1
2021-01-28,AIV,4.72,-18.153846153846157,1
2021-01-28,HBI,15.4,-16.210526315789476,1
2021-01-28,LYV,69.18,-33.100478468899524,1
2021-01-28,RCL,69.05,-11.338259441707716,1
2021-01-28,DAL,40.08,-33.680672268907564,1
2021-01-28,BA,197.23,-13.462798634812286,1
2021-01-28,LUV,44.6,-28.96103896103896,1
2021-01-28,CCL,19.74,-6.878048780487804,1
2021-01-20,NCLH,25.19,-10.03585657370518,1
2021-01-20,AAL,16.17,-4.244094488188977,1
2021-01-20,HRB,16.88,-14.305084745762713,1
2021-01-20,MRO,8.62,-20.046511627906977,1
2021-01-20,UAL,45.18,-7.070422535211268,1
2021-01-20,ALK,55.81,-16.0835734870317,1
2021-01-20,AIV,4.79,-18.423076923076923,1
2021-01-20,HBI,15.53,-16.347368421052632,1
2021-01-20,LYV,73.73,-35.27751196172249,1
2021-01-20,RCL,72.82,-11.957307060755335,1
2021-01-20,DAL,41.62,-34.97478991596638,1
2021-01-20,BA,211.45,-14.433447098976108,1
2021-01-20,LUV,48.21,-31.305194805194805,1
2021-01-20,CCL,20.78,-7.240418118466899,1
2024-04-30,CLBT,10.81,-30.02777777777778,1
2024-04-30,FSLY,12.65,-39.53125,0
2024-04-30,CORZ,2.93,3.21978021978022,1
2024-04-30,ASTS,2.21,-13.8125,1
2021-02-03,NCLH,23.61,-9.406374501992032,1
2021-02-03,AAL,17.6,-4.619422572178478,1
2021-02-03,HRB,18.55,-14.606299212598426,1
2021-02-03,MRO,7.8,-18.13953488372093,1
2021-02-03,UAL,42.04,-6.579029733959311,1
2021-02-03,ALK,52.54,-15.141210374639767,1
2021-02-03,AIV,4.79,-18.423076923076923,1
2021-02-03,HBI,15.28,-16.08421052631579,1
2021-02-03,LYV,71.44,-34.18181818181818,1
2021-02-03,RCL,69.42,-11.399014778325125,1
2021-02-03,DAL,39.78,-33.42857142857143,1
2021-02-03,BA,207.39,-14.15631399317406,1
2021-02-03,LUV,46.55,-30.227272727272723,1
2021-02-03,CCL,20.44,-7.121951219512195,1
2023-07-12,ZETA,8.7,-25.58823529411764,0
2023-07-12,MU,63.79,-36.8728323699422,1
2023-07-12,MGNI,15.31,-28.35185185185185,0
2023-07-12,WDC,38.42,-17.22869955156951,1
2023-07-12,S,14.62,-39.51351351351351,1
2023-07-12,ASTS,4.39,-18.291666666666664,0
2021-07-26,NCLH,26.02,-13.41237113402062,0
2021-07-26,ZETA,6.18,-3.34054054054054,1
2021-07-26,MSTR,68.25,-22.23127035830619,1
2021-07-26,UAL,49.46,-36.91044776119403,0
2021-07-26,RCL,80.88,-15.28922495274102,1
2021-07-26,ASTS,11.74,-30.102564102564106,1
2021-07-26,CCL,23.16,-12.655737704918032,1
2022-07-22,NCLH,11.97,-9.811475409836069,1
2022-07-22,ZETA,5.26,-8.349206349206348,1
2022-07-22,VST,23.0,-7.255520504731861,1
2022-07-22,MSTR,28.19,-2.998936170212766,1
2022-07-22,AIV,7.54,4.772151898734177,1
2022-07-22,ASTS,6.37,-39.8125,1
2022-07-22,CCL,9.26,-5.751552795031055,1
2019-12-18,DT,24.64,-15.59493670886076,1
2019-12-18,HRB,23.46,-24.694736842105264,0
2021-07-15,NCLH,24.45,-12.603092783505154,1
2021-07-15,ZETA,6.29,-3.4,1
2021-07-15,MSTR,54.1,-17.622149837133552,1
2021-07-15,UAL,47.71,-35.6044776119403,0
2021-07-15,RCL,74.21,-14.028355387523629,1
2021-07-15,ASTS,10.65,-27.307692307692307,1
2021-07-15,FTI,7.74,-20.91891891891892,0
2021-07-15,CCL,21.95,-11.994535519125682,1
2022-12-16,ZETA,8.6,-17.551020408163264,1
2022-12-16,HRB,40.33,-38.409523809523805,0
2022-12-16,FSLY,9.0,-17.307692307692307,1
2022-12-16,U,28.99,-34.51190476190476,1
2022-12-16,S,13.98,-39.94285714285714,1
