date,symbol,price,pe_ratio,to_buy,sma_10d,sma_100d,sma_50d,std_10d,sma_10d_1weeks_ago,sma_10d_1months_ago,sma_10d_2months_ago,sma_10d_3months_ago,sma_10d_4months_ago,sma_10d_5months_ago,sma_10d_6months_ago,sma_10d_7months_ago,sma_10d_11months_ago,month,RnD_expenses,revenues,GP,netIncome,dividendsPaid,sector,ebitda,income_lag_days,marketCap,total_debt,balance_lag_days,other_expenses,cashcasheq,netDebt,curr_est_eps,curr_est_rev,future_est_rev,EV,max_in_4M,max4M_lag,min_in_4M,min4M_lag,max_minus_min,var_price_to_minmax,maxPercen_4M,max_in_1M,max1M_lag,min_in_1M,min1M_lag,max_minus_min1M,var_price_to_minmax1M,maxPercen_1M,max_in_2W,max2W_lag,min_in_2W,min2W_lag,max_minus_min2W,var_price_to_minmax2W,maxPercen_2W,max_in_8M,max8M_lag,dist_max8M_4M,min_in_8M,min8M_lag,dist_min8M_4M,max_minus_min8M,var_price_minmax8M,maxPercen_8M,ebitdaMargin,Spread1Mby8M,Spread4Mby8M,Spread1Mby4M,debtToPrice,markRevRatio,eps_growth,pe,peg,PS_to_PEG,netDebtToPrice,dividend_payout_ratio,EVEbitdaRatio,EVGP,EVRevenues,fwdPriceTosale,fwdPriceTosale_diff,var_sma50D,var_sma100D,var_sma10D,var_sma10D_50D,var_sma50D_100D,var_sma10D_100D,relative_std,deriv_1w,deriv_1m,deriv_2m,deriv_3m,deriv_4m,deriv_5m,deriv_6m,deriv_max4M,deriv_min4M,deriv_max8M,deriv_min8M,deriv_1w1m_growth,deriv_1m2m_growth,deriv_3m4m_growth,1W_return,price_to_SMA10d_1W,price_to_SMA10d_5M,1M_return,2M_return,3M_return,4M_return,5M_return,6M_return,7M_return,1y_return,1M_1W_growth,2M_1W_growth,1M1W_2M1W_growth,2M_1M_growth,3M_2M_growth,4M_3M_growth,1Y_6M_growth,price_to_sma_10d_ratio,price_to_sma_50d_ratio,price_to_sma_100d_ratio,sma_10d_to_sma_50d_ratio,sma_10d_to_sma_100d_ratio,sma_50d_to_sma_100d_ratio,smas_above_count,price_above_all_sma,price_below_all_sma,combined_valuation_score,market_cap_quintile,return_to_pe,sma10_yoy_growth
2021-01-28,HRB,17.58,-14.9,1,17.07,16.75,16.85,0.8,16.33,15.63,18.3,17.92,14.74,14.73,14.66,15.77,22.39,1,0,176550000,-68505000,-223726000,-50154000,consumer cyclical,-168367000,89,3212032095.0,2018519000,89,-819000,208956000,1809563000,2.86,1855103350.0,470830000.0,5021595095.0,19.18,65,15.16,37,4.02,0.6,0.09,18.58,1,15.51,29,3.07,0.67,0.06,18.58,1,16.41,9,2.17,0.54,0.06,19.76,234,169,13.15,203,166,6.61,0.67,0.12,-0.95,0.46,0.61,0.76,0.63,18.19,-1.49,6.15,-4.12,-0.23,0.56,0.22,-29.83,-73.3,28.44,6.82,-11.37,0.04,0.05,0.03,0.01,0.01,0.02,0.05,5.0,1.95,-0.36,-0.11,0.71,0.57,0.49,-0.02,0.07,-0.01,0.02,1.56,-6.42,-1.16,0.08,1.08,1.19,0.12,-0.04,-0.02,0.19,0.19,0.2,0.11,-0.21,0.04,-0.11,-1.42,-0.15,0.02,0.22,-0.35,0.03,0.04,0.05,0.01,0.02,0.01,3,1,0,-25.27,2,-0.0,-23.76
2021-01-28,ALK,50.67,-14.6,1,53.33,45.28,51.22,2.15,53.05,50.68,48.93,39.05,39.08,37.07,36.23,36.46,61.02,1,0,808000000,-304000000,-430000000,0,industrials,-490000000,28,6298230330.0,5053000000,28,-25000000,1370000000,3683000000,-2.9,816728738.0,786445567.0,9981230330.0,55.81,8,35.71,92,20.1,0.74,0.1,55.81,8,48.85,1,6.96,0.26,0.1,55.81,8,48.85,1,6.96,0.26,0.1,55.81,8,0,34.0,178,86,21.81,0.76,0.1,-0.61,0.32,0.92,0.35,0.8,7.79,0.25,-17.49,-68.98,-8.85,0.58,-0.0,-20.37,-32.83,12.35,8.01,0.21,-0.01,0.12,-0.05,0.04,0.13,0.18,0.04,-9.52,-0.01,0.87,3.87,2.9,2.72,2.41,-0.64,0.16,-0.64,0.09,951.0,-1.01,0.34,-0.04,0.96,1.37,-0.0,0.04,0.3,0.3,0.37,0.4,0.39,-0.17,0.05,0.08,-0.44,0.04,0.25,-0.0,-0.41,-0.05,-0.01,0.12,0.04,0.18,0.13,1,0,0,-34.92,3,-0.02,-12.6
2021-01-28,AIV,4.72,-18.15,1,4.79,25.48,17.35,0.08,4.85,8.42,31.33,33.37,34.81,35.79,36.62,38.12,53.32,1,0,-390154000,-405846000,-39330000,0,real estate,-79009000,28,702874080.0,1082590000,28,-162004000,289582000,793008000,0.01,212635339.0,200300000.0,1495882080.0,42.13,52,4.52,41,37.61,0.01,7.93,5.28,28,4.62,1,0.66,0.15,0.12,4.89,13,4.62,1,0.27,0.37,0.04,43.82,234,182,4.52,41,0,39.3,0.01,8.28,0.2,0.02,0.96,0.02,1.54,-1.8,-2.15,843.61,-391.7,217.43,1.13,-0.0,-18.93,-3.69,-3.83,3.51,5.31,-0.73,-0.81,-0.01,-0.72,-0.32,-0.81,0.02,-0.52,-3.7,-13.3,-9.55,-7.52,-6.21,-5.32,-0.72,0.0,-0.17,0.0,-0.86,-0.72,0.27,-0.03,0.97,0.13,-0.44,-0.85,-0.86,-0.86,-0.87,-0.87,-0.88,-0.91,-0.42,-0.85,-0.5,-0.73,-0.06,-0.04,-0.31,-0.01,-0.73,-0.81,-0.72,-0.81,-0.32,0,0,1,107.32,1,-0.0,-91.02
2021-01-28,LYV,69.18,-33.1,1,71.77,63.41,71.07,2.66,73.52,72.6,67.66,54.36,55.05,53.18,49.17,46.51,68.44,1,27646000,237383000,34109000,-443332000,0,communication services,-258155000,28,14841320854.0,6461332000,28,5558000,2537787000,3923545000,-2.2,209275636.0,303996152.0,18764865854.0,76.54,9,48.8,90,27.74,0.73,0.11,76.54,9,68.52,1,8.02,0.08,0.11,76.54,9,68.52,1,8.02,0.08,0.11,76.54,9,0,42.62,216,126,33.92,0.78,0.11,-1.09,0.24,0.82,0.29,0.44,62.52,-0.33,-31.46,94.56,1.51,0.26,-0.0,-72.69,550.14,79.05,48.82,-13.7,-0.03,0.09,-0.04,0.01,0.12,0.13,0.04,-17.36,-3.42,0.76,4.94,3.53,3.2,3.34,-0.82,0.23,-0.82,0.12,4.08,-5.5,0.4,-0.06,0.94,1.3,-0.05,0.02,0.27,0.26,0.3,0.41,0.49,0.01,0.01,0.09,-0.85,0.07,0.24,-0.01,-0.28,-0.04,-0.03,0.09,0.01,0.13,0.12,1,0,0,135.14,4,-0.01,4.87
2021-01-28,RCL,69.05,-11.34,1,70.98,69.5,74.67,3.07,73.15,72.45,76.16,59.7,64.65,63.29,52.35,54.54,97.74,1,0,34139000,-231118000,-1366933000,-324206000,consumer cyclical,-786400000,28,16769400001.0,19995596000,28,-9551000,3684474000,16311122000,-5.2,35618616.0,43883864.0,33080522001.0,84.4,56,53.12,92,31.28,0.51,0.22,75.84,14,66.18,1,9.66,0.3,0.1,73.48,9,66.18,1,7.3,0.39,0.06,84.4,56,0,46.41,216,124,37.99,0.6,0.22,-23.04,0.25,0.82,0.31,1.19,491.21,-0.11,-13.29,117.31,0.24,0.97,0.24,-42.07,-143.13,969.0,382.13,-109.08,-0.08,-0.01,-0.03,-0.05,0.07,0.02,0.04,-16.4,-3.4,-3.56,3.12,1.1,1.15,2.78,-0.27,0.17,-0.27,0.1,3.82,-0.04,1.83,-0.06,0.94,1.09,-0.05,-0.09,0.16,0.07,0.09,0.32,0.27,-0.29,0.01,-0.04,-1.24,-0.05,0.28,-0.08,-0.46,-0.03,-0.08,-0.01,-0.05,0.02,0.07,0,0,1,-20.29,4,-0.01,-27.38
2021-01-28,DAL,40.08,-33.68,1,40.09,36.16,40.28,0.96,40.45,40.46,38.74,31.78,31.46,29.09,26.6,29.4,54.14,1,304000000,3973000000,-1486000000,-755000000,0,industrials,-244000000,28,25490880000.0,35548000000,28,21000000,8307000000,27241000000,-2.5,3666704621.0,3941825948.0,52731880000.0,42.95,56,29.65,92,13.3,0.78,0.07,41.62,8,38.52,1,3.1,0.5,0.04,41.62,8,38.52,1,3.1,0.5,0.04,42.95,56,0,24.94,182,90,18.01,0.84,0.07,-0.06,0.17,0.74,0.23,1.39,6.42,0.25,-16.03,-63.69,-9.93,1.07,-0.0,-216.11,-35.49,13.27,6.47,0.05,-0.0,0.11,-0.0,-0.0,0.11,0.11,0.02,-1.48,-0.38,0.67,2.77,2.15,2.2,2.25,-0.05,0.11,-0.05,0.08,2.89,-1.57,0.28,-0.01,0.99,1.38,-0.01,0.03,0.26,0.27,0.38,0.51,0.36,-0.26,-0.0,0.04,-1.01,0.04,0.22,0.01,-0.51,-0.0,-0.0,0.11,-0.0,0.11,0.11,1,0,0,-82.83,5,-0.02,-25.95
2021-01-28,LUV,44.6,-28.96,1,46.59,43.15,46.6,1.46,47.62,46.01,46.34,40.22,38.83,35.82,33.23,34.59,53.16,1,0,2013000000,-649000000,-908000000,0,industrials,-925000000,28,26358600000.0,12199000000,28,-63000000,11063000000,1136000000,-1.68,2096568216.0,2069518435.0,27494600000.0,48.82,14,37.5,120,11.32,0.63,0.09,48.82,14,44.15,1,4.67,0.1,0.09,48.21,8,44.15,1,4.06,0.11,0.08,48.82,14,0,30.89,181,61,17.93,0.76,0.09,-0.46,0.26,0.63,0.41,0.46,13.09,0.1,-26.48,-263.97,-20.16,0.04,-0.0,-29.72,-42.36,13.66,12.74,-0.36,-0.04,0.03,-0.04,-0.0,0.08,0.08,0.03,-12.08,-1.41,-0.87,1.46,1.44,1.76,1.9,-0.3,0.06,-0.3,0.08,7.57,0.62,0.01,-0.06,0.94,1.25,-0.03,-0.04,0.11,0.15,0.25,0.34,0.29,-0.16,0.03,0.03,0.27,-0.01,0.15,0.04,-0.37,-0.04,-0.04,0.03,-0.0,0.08,0.08,1,0,0,-90.63,5,-0.0,-12.36
2021-01-20,NCLH,25.19,-10.04,1,24.9,20.38,23.83,0.65,24.57,26.25,20.49,17.19,17.61,15.29,15.81,20.71,52.37,1,0,9579000,-197413000,-738933000,-850000000,consumer cyclical,-377373000,20,8296909799.0,11806119000,20,-1324000,3300482000,8505637000,-2.17,2606331.0,11187381.0,16802546799.0,28.15,43,14.63,118,13.52,0.78,0.12,26.42,6,23.08,29,3.34,0.63,0.05,26.42,6,24.14,9,2.28,0.46,0.05,28.15,43,0,13.06,170,52,15.09,0.8,0.12,-39.4,0.22,0.9,0.25,1.42,866.16,-0.07,-11.59,168.24,0.19,1.03,1.15,-44.53,-85.11,1754.1,741.63,-124.53,0.06,0.24,0.01,0.04,0.17,0.22,0.03,2.48,-1.06,2.35,2.67,1.9,1.98,1.56,-0.07,0.09,-0.07,0.07,-3.34,-1.45,0.41,0.03,1.03,1.65,-0.04,0.23,0.47,0.43,0.65,0.59,0.22,-0.52,-0.06,0.2,-1.32,0.28,0.19,-0.02,-0.7,0.01,0.06,0.24,0.04,0.22,0.17,3,1,0,6.75,3,-0.04,-52.45
2021-01-20,HRB,16.88,-14.31,1,16.28,16.58,16.88,0.28,15.98,16.13,17.93,17.56,14.88,15.06,14.19,17.72,22.61,1,0,176550000,-68505000,-223726000,-50154000,consumer cyclical,-168367000,81,3084135482.0,2018519000,81,-819000,208956000,1809563000,2.86,1855103350.0,470830000.0,4893698482.0,19.18,57,14.18,121,5.0,0.54,0.14,16.88,0,15.16,29,1.72,1.0,0.0,16.88,0,15.91,13,0.97,1.0,0.0,19.76,226,169,13.15,195,74,6.61,0.56,0.17,-0.95,0.26,0.76,0.34,0.65,17.47,-1.49,5.91,-3.95,-0.23,0.59,0.22,-29.07,-71.44,27.72,6.55,-10.92,0.0,0.02,0.04,-0.04,0.02,-0.02,0.02,3.6,0.75,-0.53,-0.23,0.5,0.36,0.45,-0.04,0.02,-0.01,0.02,3.8,-2.43,-1.45,0.06,1.06,1.12,0.05,-0.06,-0.04,0.13,0.12,0.19,-0.05,-0.25,-0.01,-0.11,-0.91,-0.1,0.02,0.18,-0.37,0.04,0.0,0.02,-0.04,-0.02,0.02,2,0,0,-24.64,2,-0.01,-28.0
2021-01-20,AIV,4.79,-18.42,1,4.88,27.38,20.3,0.08,4.98,26.51,30.73,35.38,36.34,36.53,37.35,40.22,54.23,1,0,-390154000,-405846000,-39330000,0,real estate,-79009000,20,713298060.0,1082590000,20,-162004000,289582000,793008000,0.01,212635339.0,200300000.0,1506306060.0,42.13,44,4.52,33,37.61,0.01,7.8,5.28,20,4.78,8,0.5,0.02,0.1,4.94,13,4.78,8,0.16,0.06,0.03,43.82,226,182,4.52,33,0,39.3,0.01,8.15,0.2,0.01,0.96,0.01,1.52,-1.83,-2.15,856.12,-397.51,217.43,1.11,-0.0,-19.06,-3.71,-3.86,3.56,5.39,-0.76,-0.83,-0.02,-0.76,-0.26,-0.82,0.02,-0.76,-21.72,-12.97,-10.2,-7.89,-6.35,-5.43,-0.85,0.01,-0.17,0.01,-0.97,0.67,0.29,-0.04,0.96,0.13,-0.82,-0.84,-0.86,-0.87,-0.87,-0.87,-0.88,-0.91,-0.81,-0.84,-0.03,-0.14,-0.13,-0.03,-0.31,-0.02,-0.76,-0.83,-0.76,-0.82,-0.26,0,0,1,108.96,1,-0.0,-91.0
