date,symbol,price,est_eps_growth,to_buy
2023-04-18,NUE,151.08,0.4311069062408718,0
2023-04-18,DAL,35.36,7.077099031216362,0
2023-04-18,F,12.73,0.3049331666506393,0
2021-07-16,HCA,219.2,0.2843271477489385,1
2021-07-16,NUE,92.04,0.4962198106981446,1
2021-07-16,TSN,71.4,0.3761950286806882,1
2021-07-16,COP,55.5,0.3817596742084738,0
2021-07-16,DELL,46.75,0.2681764599484815,1
2021-06-14,AIG,51.1,0.2463425753242985,0
2021-06-14,PFE,39.63,0.2508345255126371,1
2021-06-14,DELL,52.05,0.2681764599484815,0
2021-06-17,AIG,48.77,0.2463425753242985,0
2021-06-17,PFE,39.48,0.2508345255126371,1
2021-06-17,DELL,50.48,0.2681764599484815,0
2021-08-16,XOM,55.94,0.5432995205452313,0
2021-08-16,NUE,124.28,0.4962198106981446,0
2021-08-16,TSN,81.11,0.3761950286806882,0
2021-08-16,COP,54.81,0.3817596742084738,0
2023-10-04,LEN,108.97,0.304753434077644,1
2023-10-04,NRG,37.46,0.9490404640600548,1
2023-10-04,PFE,33.31,0.982013577494426,0
2024-07-11,NRG,79.63,0.2582423976003309,0
2023-02-22,C,50.04,0.4407489314091413,0
2023-02-22,CAH,77.52,0.3027600105143257,0
2021-06-03,AIG,53.54,0.2463425753242985,0
2021-06-03,PFE,38.97,0.2508345255126371,1
2021-06-03,UPS,211.98,0.6176606271696633,0
2021-06-03,DELL,51.5,0.2681764599484815,0
2022-06-23,NUE,106.04,0.2131197669376091,1
2022-06-23,LOW,176.33,0.4236726556823192,1
2022-06-23,COP,87.89,0.2175724957726572,0
2022-06-23,CVX,142.43,0.4989530723131066,0
2019-12-19,DELL,25.27,0.2645269098590661,0
2019-12-19,GE,54.97,0.4479317668475878,0
2022-08-25,TMUS,147.07,0.4029271896209428,0
2022-08-25,KR,49.32,1.930689505182163,0
2022-08-25,UAL,38.27,0.2281102761215753,0
2022-05-02,NUE,149.99,0.2131197669376091,0
2022-05-02,COP,95.92,0.2175724957726572,0
2022-05-02,FDX,197.01,0.4763291857635455,1
2022-05-02,CVX,159.75,0.4989530723131066,0
2022-05-02,LYB,108.01,0.3397881005952551,0
2023-01-30,C,51.75,0.4407489314091413,0
2023-01-30,CAH,77.24,0.3027600105143257,0
2023-01-30,BBY,86.38,1.038593432141819,0
2022-01-13,GM,61.77,0.4226441389514977,0
2022-01-13,COP,83.62,0.4506679358744948,1
2022-05-26,NUE,133.07,0.2131197669376091,0
2022-05-26,COP,113.15,0.2175724957726572,0
2022-05-26,FDX,212.29,0.4763291857635455,1
2022-05-26,LYB,111.5,0.3397881005952551,0
2022-04-25,NUE,158.56,0.2131197669376091,0
2022-04-25,COP,91.66,0.2175724957726572,1
2022-04-25,FDX,205.4,0.4763291857635455,1
2022-04-25,CVX,157.49,0.4989530723131066,0
2022-04-25,LYB,105.21,0.3397881005952551,0
2021-03-15,C,74.22,0.9345415000037242,0
2021-03-15,XOM,60.39,75.74525884161967,0
2021-03-15,CNC,62.8,2.193588162762022,1
2021-03-15,HPQ,30.79,0.3441458327035281,1
2021-03-15,DOW,62.9,0.707749264782719,1
2021-03-15,ORCL,67.73,0.1783542216656005,1
2021-12-02,AIG,53.96,0.346776660962979,1
2021-12-02,XOM,61.28,0.2467184019821172,1
2021-12-02,CB,182.36,0.5249349060887132,1
2021-12-02,COP,71.26,0.4375024670078814,0
2021-12-02,CVX,115.14,0.4189164646161948,1
2021-12-02,F,19.87,0.6656512370904228,0
2023-03-20,C,44.09,0.4407489314091413,1
2023-03-20,CAH,71.14,0.3027600105143257,1
2023-06-29,CMCSA,41.47,0.1922049214176403,1
2023-06-29,DAL,46.31,7.077099031216362,0
2023-06-29,F,14.95,0.3049331666506393,0
2022-01-26,GM,52.35,0.4226441389514977,0
2022-01-26,COP,87.06,0.4506679358744948,1
2021-08-06,NUE,104.31,0.4962198106981446,0
2021-08-06,TSN,71.12,0.3761950286806882,1
2021-08-06,COP,56.5,0.3817596742084738,0
2021-01-15,BMY,66.54,0.2750556242274413,0
2021-01-15,CI,218.9,0.1887173128638513,0
2021-01-15,C,64.23,0.9345415000037242,0
2021-01-15,XOM,47.89,75.74525884161967,0
2021-01-15,CNC,63.99,2.193588162762022,0
2021-01-15,HPQ,25.17,0.2663999540590722,1
2021-01-15,MRK,79.5,0.1624405465176164,0
2021-01-15,DOW,57.31,0.707749264782719,0
2021-01-15,DELL,37.62,0.5415303609823944,1
2023-07-07,MPC,118.02,0.7008075246011776,1
2023-07-07,PSX,99.44,0.3372238224471787,1
2023-07-07,VLO,114.88,0.4817620289309048,1
2023-07-07,DHI,115.39,0.3953739731949848,1
2024-06-11,C,59.14,0.1880683699722342,0
2024-06-11,UBER,69.59,0.4180547360777016,0
2023-07-12,MPC,119.96,0.7008075246011776,1
2023-07-12,PSX,101.96,0.3372238224471787,1
2023-07-12,VLO,115.04,0.4817620289309048,1
2023-07-12,DHI,123.71,0.3953739731949848,0
2023-11-14,LEN,128.26,0.304753434077644,1
