date,symbol,price,est_eps_growth,to_buy,sma_10d,sma_50w,sma_100d,sma_200d,sma_50d,std_10d,sma_10d_1weeks_ago,sma_10d_1months_ago,sma_10d_2months_ago,sma_10d_3months_ago,sma_10d_4months_ago,sma_10d_5months_ago,sma_10d_6months_ago,sma_10d_7months_ago,sma_10d_11months_ago,month,RnD_expenses,revenues,GP,netIncome,dividendsPaid,sector,ebitda,income_lag_days,marketCap,total_debt,balance_lag_days,other_expenses,cashcasheq,netDebt,curr_est_eps,curr_est_rev,future_est_rev,EV,max_in_4M,max4M_lag,min_in_4M,min4M_lag,max_minus_min,var_price_to_minmax,maxPercen_4M,max_in_1M,max1M_lag,min_in_1M,min1M_lag,max_minus_min1M,var_price_to_minmax1M,maxPercen_1M,max_in_2W,max2W_lag,min_in_2W,min2W_lag,max_minus_min2W,var_price_to_minmax2W,maxPercen_2W,max_in_8M,max8M_lag,dist_max8M_4M,min_in_8M,min8M_lag,dist_min8M_4M,max_minus_min8M,var_price_minmax8M,maxPercen_8M,ebitdaMargin,Spread1Mby8M,Spread4Mby8M,Spread1Mby4M,debtToPrice,markRevRatio,eps_growth,pe,peg,PS_to_PEG,netDebtToPrice,dividend_payout_ratio,EVEbitdaRatio,EVGP,EVRevenues,fwdPriceTosale,fwdPriceTosale_diff,var_sma50D,var_sma100D,var_sma10D,var_sma10D_50D,var_sma50D_100D,var_sma50D_200D,var_sma10D_100D,var_sma10D_200D,relative_std,deriv_1w,deriv_1m,deriv_2m,deriv_3m,deriv_4m,deriv_5m,deriv_6m,deriv_min4M,deriv_max8M,deriv_min8M,deriv_1w1m_growth,deriv_1m2m_growth,deriv_3m4m_growth,1W_return,price_to_SMA10d_1W,price_to_SMA10d_5M,1M_return,2M_return,3M_return,4M_return,5M_return,6M_return,7M_return,1y_return,1M_1W_growth,2M_1W_growth,1M1W_2M1W_growth,2M_1M_growth,3M_2M_growth,4M_3M_growth,1Y_6M_growth,price_to_sma_10d_ratio,price_to_sma_50d_ratio,price_to_sma_100d_ratio,price_to_sma_200d_ratio,sma_10d_to_sma_50d_ratio,sma_10d_to_sma_100d_ratio,sma_10d_to_sma_200d_ratio,sma_50d_to_sma_100d_ratio,sma_50d_to_sma_200d_ratio,sma_100d_to_sma_200d_ratio,golden_cross,death_cross,smas_above_count,price_above_all_sma,price_below_all_sma,combined_valuation_score,market_cap_quintile,return_to_pe,sma10_yoy_growth
2023-04-18,NUE,151.08,0.43,0,146.78,137.82,153.62,140.39,158.0,2.13,148.68,159.28,167.79,148.55,146.48,138.96,119.62,131.67,127.53,4,0,8709980000,1998202000,1136542000,-130525000,basic materials,1886825000,17,37791755520,6670947000,17,0,3800034000,2870913000,3.87,9034523917,9620650115,40662668520,182.68,74,129.82,105,52.86,0.4,0.21,156.33,15,141.29,13,15.04,0.65,0.03,151.33,0,141.29,13,10.04,0.98,0.0,182.68,74,0,102.86,204,99,79.82,0.6,0.21,0.22,0.19,0.66,0.28,0.18,4.34,0.43,39.05,90.59,20.88,0.08,-0.11,21.55,20.35,4.67,3.93,-0.41,-0.04,-0.02,0.03,-0.07,0.03,0.13,-0.04,0.05,0.01,9.6,-8.2,-8.35,0.84,1.15,2.42,5.24,0.2,-0.43,0.24,-2.17,-0.02,-0.27,0.02,1.02,1.09,-0.05,-0.1,0.02,0.03,0.09,0.26,0.15,0.18,-0.07,-0.11,-0.42,-0.05,0.13,0.01,-0.06,0.03,-0.04,-0.02,0.08,-0.07,-0.04,0.05,0.03,0.13,0.09,1,0,2,0,0,42.89,2,0.0,15.09
2023-04-18,DAL,35.36,7.08,0,34.05,34.2,35.92,33.98,35.99,0.59,33.88,36.41,38.92,37.31,34.22,34.36,30.28,32.21,39.11,4,0,12759000000,858000000,-363000000,0,industrials,285000000,18,22595040000,29560000000,18,563000000,3215000000,26345000000,0.3,11981852480,14439361208,48940040000,40.34,75,31.04,25,9.3,0.46,0.14,35.47,0,31.04,25,4.43,0.98,0.0,35.47,0,32.44,5,3.03,0.96,0.0,40.34,75,0,27.2,197,172,13.14,0.62,0.14,0.02,0.34,0.71,0.48,1.31,1.77,7.08,118.95,16.81,9.49,1.17,-0.0,171.72,57.04,3.84,1.56,-0.21,-0.02,-0.02,0.04,-0.05,0.0,0.06,-0.05,0.0,0.02,5.92,-1.05,-1.78,-0.65,0.29,0.2,0.85,0.17,-0.07,0.04,-6.64,-0.41,-3.28,0.04,1.04,1.03,-0.03,-0.09,-0.05,0.03,0.03,0.17,0.1,-0.1,-0.07,-0.13,-0.46,-0.06,0.04,0.09,-0.23,0.04,-0.02,-0.02,0.04,-0.05,-0.05,0.0,0.0,0.06,0.06,1,0,2,0,0,91.13,1,-0.0,-12.94
2023-04-18,F,12.73,0.3,0,12.61,12.99,12.61,13.1,12.4,0.16,12.43,12.21,13.1,12.68,13.17,13.96,11.88,15.11,13.36,4,0,41474000000,4619000000,1757000000,-3193000000,consumer cyclical,4092000000,18,50958190000,140691000000,18,-73000000,22144000000,118547000000,0.42,39249729286,43168314375,169505190000,14.6,75,10.9,111,3.7,0.49,0.15,13.08,6,11.15,29,1.93,0.82,0.03,13.08,6,12.16,8,0.92,0.62,0.03,16.14,242,167,10.9,111,0,5.24,0.35,0.27,0.1,0.37,0.71,0.52,2.76,1.23,0.3,30.6,100.36,81.68,2.33,-1.82,41.42,36.7,4.09,1.18,-0.05,0.03,0.01,0.01,0.02,-0.02,-0.05,0.0,-0.04,0.01,1.2,0.52,-0.18,0.02,-0.11,-0.25,0.14,0.02,-0.01,0.02,1.31,-3.81,-1.15,0.02,1.02,0.91,0.04,-0.03,0.0,-0.03,-0.09,0.07,-0.16,-0.05,0.02,-0.05,-1.35,-0.07,0.03,-0.04,-0.11,0.01,0.03,0.01,-0.03,0.02,0.0,-0.04,-0.02,-0.05,-0.04,0,1,3,0,0,52.27,3,0.0,-5.61
2021-07-16,HCA,219.2,0.28,1,217.73,170.83,200.13,177.34,210.65,2.25,211.84,210.3,208.03,190.17,184.65,174.73,169.62,158.77,130.86,7,0,14435000000,12055000000,1450000000,-156000000,healthcare,3197000000,16,69721382400,34339000000,16,3185000000,1120000000,33219000000,3.16,13611918646,14534946792,102940382400,221.71,4,181.91,115,39.8,0.94,0.01,221.71,4,200.42,28,21.29,0.88,0.01,221.71,4,211.45,10,10.26,0.76,0.01,221.71,4,0,147.01,238,123,74.7,0.97,0.01,0.22,0.29,0.53,0.53,0.49,4.83,0.28,69.31,243.76,50.47,0.48,-0.11,32.2,8.54,7.13,4.8,-0.03,0.04,0.1,0.01,0.03,0.05,0.19,0.09,0.23,0.01,29.44,8.9,5.58,9.68,8.64,8.89,8.26,0.32,-0.63,0.3,2.31,0.59,0.12,0.03,1.03,1.25,0.04,0.05,0.15,0.19,0.25,0.29,0.38,0.68,0.01,0.02,-0.6,0.01,0.09,0.03,0.3,0.01,0.04,0.1,0.24,0.03,0.09,0.23,0.05,0.19,0.13,1,0,4,1,0,88.45,3,0.0,66.38
2021-07-16,NUE,92.04,0.5,1,95.12,66.26,87.2,69.94,99.95,1.78,95.46,105.83,96.52,79.63,66.13,53.9,55.96,56.26,44.61,7,0,8789164000,2473503000,1500192000,-122638000,basic materials,2266809000,13,26738540400,5388209000,13,0,2722656000,2665553000,4.79,8256907924,10146115924,29404093400,110.97,45,66.92,115,44.05,0.57,0.21,100.24,29,91.64,10,8.6,0.05,0.09,98.8,4,91.64,10,7.16,0.06,0.07,110.97,45,0,47.94,168,53,63.03,0.7,0.21,0.26,0.14,0.7,0.2,0.2,3.04,0.5,19.22,38.74,12.73,0.1,-0.08,12.97,11.89,3.35,2.64,-0.41,-0.08,0.06,-0.03,-0.05,0.15,0.43,0.09,0.36,0.02,-13.68,-13.79,-2.24,4.14,6.48,7.63,6.01,0.22,-0.42,0.26,-0.01,5.16,-0.36,-0.04,0.96,1.71,-0.13,-0.05,0.16,0.39,0.71,0.64,0.64,1.06,-0.1,-0.01,7.92,0.1,0.21,0.2,0.25,-0.03,-0.08,0.06,0.32,-0.05,0.09,0.36,0.15,0.43,0.25,1,0,2,0,0,20.7,1,0.01,113.23
2021-07-16,TSN,71.4,0.38,1,72.49,68.59,75.96,69.69,76.54,0.87,73.53,77.39,78.97,76.91,73.73,66.54,64.33,68.75,63.98,7,0,12478000000,1620000000,749000000,-159000000,consumer defensive,1443000000,13,25918200000,10352000000,13,7000000,1613000000,8739000000,1.61,11460212500,12660220300,34657200000,81.79,63,70.66,1,11.13,0.07,0.15,74.86,29,70.66,1,4.2,0.18,0.05,73.81,9,70.66,1,3.15,0.23,0.03,81.79,63,0,60.52,238,237,21.27,0.51,0.15,0.12,0.2,0.52,0.38,0.4,2.08,0.38,44.32,117.82,56.72,0.34,-0.21,24.02,21.39,2.78,2.05,-0.03,-0.07,-0.06,-0.02,-0.05,0.01,0.1,-0.05,0.04,0.01,-8.52,-5.99,-3.78,-1.84,-0.58,0.97,1.18,0.74,-0.16,0.05,0.42,0.58,2.15,-0.03,0.97,1.07,-0.08,-0.1,-0.07,-0.03,0.07,0.11,0.04,0.12,-0.05,-0.07,-0.28,-0.02,0.03,0.04,0.01,-0.02,-0.07,-0.06,0.02,-0.05,-0.05,0.04,0.01,0.1,0.09,1,0,1,0,0,51.89,1,-0.0,13.3
2021-07-16,COP,55.5,0.38,0,59.09,46.03,55.96,47.82,58.51,1.88,60.51,60.2,55.27,51.7,57.75,45.6,44.71,42.86,39.12,7,0,9556000000,3312000000,2091000000,-583000000,energy,5231000000,16,73941873000,20010000000,16,420000000,6608000000,13402000000,1.1,9905632056,10724238544,87343873000,63.57,15,47.85,86,15.72,0.49,0.15,63.57,15,55.31,0,8.26,0.02,0.15,62.89,10,55.31,0,7.58,0.03,0.13,63.57,15,0,37.24,241,155,26.33,0.69,0.15,0.55,0.31,0.6,0.53,0.27,7.74,0.38,50.45,132.15,17.08,0.18,-0.28,16.7,26.37,9.14,6.89,-0.84,-0.05,-0.01,-0.06,0.01,0.05,0.22,0.06,0.24,0.03,-20.04,-4.7,0.11,1.27,-0.56,1.98,1.8,0.09,-0.54,0.08,3.26,-41.87,-3.25,-0.08,0.92,1.22,-0.08,0.0,0.07,-0.04,0.22,0.24,0.29,0.42,0.01,0.09,-0.95,0.09,0.07,-0.1,0.14,-0.06,-0.05,-0.01,0.16,0.01,0.06,0.24,0.05,0.22,0.17,1,0,1,0,0,56.42,4,0.0,51.05
2021-07-16,DELL,46.75,0.27,1,48.97,40.8,48.33,42.28,50.39,1.47,50.47,52.28,49.64,47.41,43.91,40.12,37.72,36.51,30.79,7,619000000,22590000000,5264000000,887000000,0,technology,2602000000,77,35670250000,48914000000,77,0,15174000000,33740000000,1.6,23404499004,25567975955,69410250000,53.0,36,42.96,115,10.04,0.38,0.13,52.05,29,46.72,1,5.33,0.01,0.11,51.09,7,46.72,1,4.37,0.01,0.09,53.0,36,0,33.72,241,126,19.28,0.68,0.13,0.12,0.28,0.52,0.53,1.37,1.58,0.27,29.16,108.73,68.86,0.95,0.0,26.68,13.19,3.07,1.4,-0.18,-0.07,-0.03,-0.05,-0.03,0.04,0.19,0.01,0.16,0.03,-14.88,-5.53,-1.45,-0.22,0.71,1.33,1.5,0.03,-0.17,0.05,1.69,2.83,-1.31,-0.07,0.93,1.17,-0.11,-0.06,-0.01,0.06,0.17,0.24,0.28,0.52,-0.03,0.02,-3.07,0.05,0.05,0.08,0.23,-0.05,-0.07,-0.03,0.11,-0.03,0.01,0.16,0.04,0.19,0.14,1,0,1,0,0,44.44,2,-0.0,59.05
2021-06-14,AIG,51.1,0.25,0,52.67,39.3,46.84,40.53,49.74,0.84,52.62,50.28,46.71,46.97,40.78,39.78,39.55,35.0,29.91,6,0,14418000000,12330000000,3869000000,-283000000,financial services,6493000000,75,44095770574,35648000000,75,-3318000000,2796000000,32852000000,0.97,10676409308,10888495128,76947770574,54.08,12,41.17,117,12.91,0.77,0.06,54.08,12,49.55,26,4.53,0.34,0.06,54.08,12,50.85,0,3.23,0.08,0.06,54.08,12,0,29.12,242,125,24.96,0.88,0.06,0.45,0.18,0.52,0.35,0.81,3.06,0.25,52.94,214.92,70.27,0.75,-0.07,11.85,6.24,5.34,4.05,0.99,0.03,0.09,-0.03,0.06,0.06,0.23,0.12,0.3,0.02,-6.08,0.82,2.2,1.38,2.58,2.26,1.93,0.08,-0.25,0.09,-8.41,-0.63,-0.47,-0.03,0.97,1.28,0.02,0.09,0.09,0.25,0.28,0.29,0.46,0.71,0.05,0.13,-0.63,0.08,-0.01,0.15,0.32,-0.03,0.03,0.09,0.26,0.06,0.12,0.3,0.06,0.23,0.16,1,0,3,0,0,71.49,2,0.0,76.09
2021-06-14,PFE,39.63,0.25,1,39.35,36.5,37.01,36.62,38.86,0.66,38.98,39.75,36.46,34.36,34.91,37.04,40.84,35.56,32.32,6,2014000000,14582000000,10371000000,4877000000,-2172000000,healthcare,6295000000,71,221848740000,38188000000,71,658000000,1768000000,36420000000,0.78,13652108636,18706448583,258268740000,41.09,40,33.36,108,7.73,0.81,0.04,40.72,4,38.48,13,2.24,0.51,0.03,40.72,4,38.48,13,2.24,0.51,0.03,43.08,187,147,32.8,228,120,10.28,0.66,0.09,0.43,0.22,0.75,0.29,0.17,15.21,0.25,51.08,203.63,13.38,0.16,-0.45,41.03,24.9,17.71,11.86,-3.35,0.02,0.07,0.01,0.01,0.05,0.06,0.06,0.07,0.02,2.6,-0.12,1.59,1.76,1.18,0.52,-0.2,0.06,-0.02,0.03,-22.67,-1.08,0.49,0.02,1.02,1.07,-0.0,0.09,0.15,0.14,0.07,-0.03,0.11,0.23,-0.02,0.07,-1.28,0.09,0.06,-0.02,0.26,0.01,0.02,0.07,0.08,0.01,0.06,0.07,0.05,0.06,0.01,1,0,4,1,0,80.16,5,0.0,21.75
