date,symbol,price,est_eps_growth,to_buy,sma_10d,sma_50w,sma_100d,sma_200d,sma_50d,std_10d,sma_10d_1weeks_ago,sma_10d_2weeks_ago,sma_10d_1months_ago,sma_10d_2months_ago,sma_10d_3months_ago,sma_10d_4months_ago,sma_10d_5months_ago,sma_10d_6months_ago,sma_10d_7months_ago,sma_10d_11months_ago,month,RnD_expenses,revenues,GP,netIncome,dividendsPaid,open_price,vwap,volume,price_to_vwap,sector,ebitda,income_lag_days,marketCap,total_debt,balance_lag_days,other_expenses,cashcasheq,netDebt,curr_est_eps,curr_est_rev,future_est_rev,EV,max_in_4M,max4M_lag,min_in_4M,min4M_lag,max_minus_min,var_price_to_minmax,maxPercen_4M,max_in_1M,max1M_lag,min_in_1M,min1M_lag,max_minus_min1M,var_price_to_minmax1M,maxPercen_1M,max_in_2W,max2W_lag,min_in_2W,min2W_lag,max_minus_min2W,var_price_to_minmax2W,maxPercen_2W,max_in_8M,max8M_lag,dist_max8M_4M,min_in_8M,min8M_lag,dist_min8M_4M,max_minus_min8M,var_price_minmax8M,maxPercen_8M,ebitdaMargin,Spread1Mby8M,Spread4Mby8M,Spread1Mby4M,debtToPrice,markRevRatio,open_price_to_now,eps_growth,pe,peg,PS_to_PEG,netDebtToPrice,dividend_payout_ratio,EVEbitdaRatio,EVGP,EVRevenues,fwdPriceTosale,fwdPriceTosale_diff,var_sma50D,var_sma100D,var_sma10D,var_sma10D_50D,var_sma50D_100D,var_sma50D_200D,var_sma10D_100D,var_sma10D_200D,relative_std,deriv_1w,deriv_2w,deriv_1m,diff_deriv_1m1w,deriv_2m,deriv2_1_2m,deriv_3m,deriv2_1_3m,deriv2_2_3m,deriv_4m,deriv_5m,deriv_6m,deriv_min4M,deriv_max8M,deriv_min8M,deriv_1w1m_growth,deriv_1m2m_growth,deriv_3m4m_growth,1W_return,price_to_SMA10d_1W,price_to_SMA10d_5M,1M_return,2M_return,3M_return,4M_return,5M_return,6M_return,7M_return,1y_return,1M_1W_growth,2M_1W_growth,1M1W_2M1W_growth,2M_1M_growth,3M_2M_growth,4M_3M_growth,1Y_6M_growth,price_to_sma_10d_ratio,price_to_sma_50d_ratio,price_to_sma_100d_ratio,price_to_sma_200d_ratio,sma_10d_to_sma_50d_ratio,sma_10d_to_sma_100d_ratio,sma_10d_to_sma_200d_ratio,sma_50d_to_sma_100d_ratio,sma_50d_to_sma_200d_ratio,sma_100d_to_sma_200d_ratio,golden_cross,death_cross,smas_above_count,price_above_all_sma,price_below_all_sma,combined_valuation_score,market_cap_quintile,return_to_pe,sma10_yoy_growth
2024-08-19,EXPE,135.46,0.9,0,126.4,127.89,125.05,132.24,126.76,7.06,121.09,124.55,132.12,122.61,113.19,130.41,134.86,142.74,149.39,107.31,8,331000000,3558000000,2991000000,386000000,0,131.95,133.66,1552503,101.35,consumer cyclical,754000000,50,17873676080,6551000000,50,-21000000.0,8362000000,-1811000000,3.18,3534141107,4112549025,16062676080,141.6,34,107.25,82,34.35,0.82,0.05,136.31,28,110.2,14,26.11,0.97,0.01,135.64,0,111.08,12,24.56,0.99,0.0,160.05,193,159,107.25,82,0,52.8,0.53,0.18,0.21,0.49,0.65,0.76,0.37,5.02,0.03,0.9,42.55,47.32,9.42,-0.1,0.0,21.3,5.37,4.51,4.35,-0.68,0.07,0.08,0.07,-0.0,0.01,-0.04,0.01,-0.04,0.05,57.48,21.82,3.34,-54.14,6.43,3.09,7.42,2.04,1.0,1.26,0.12,-1.21,0.34,-0.13,0.34,16.21,-0.48,4.88,0.12,1.12,1.0,0.03,0.1,0.2,0.04,0.0,-0.05,-0.09,0.26,-0.08,-0.01,5.73,0.08,0.08,-0.13,0.33,0.07,0.07,0.08,0.02,-0.0,0.01,-0.04,0.01,-0.04,-0.05,0,1,4,1,0,29.14,2,0.0,17.79
2024-08-19,ALL,180.62,7.54,1,174.46,152.94,167.88,158.26,166.98,4.47,172.13,171.77,166.04,161.42,169.65,167.78,159.72,159.75,151.39,109.18,8,0,15714000000,15714000000,331000000,-273000000,179.04,179.88,1039077,100.41,financial services,660000000,50,47701742000,8082000000,50,-4081000000.0,599000000,7483000000,0.28,14044926467,14566096485,55184742000,184.31,4,156.66,63,27.65,0.87,0.02,184.31,4,162.27,25,22.04,0.83,0.02,184.31,4,169.2,11,15.11,0.76,0.02,184.31,4,0,134.17,242,179,50.14,0.93,0.02,0.04,0.44,0.55,0.8,0.17,3.04,0.01,7.54,648.83,86.07,28.35,0.16,-0.82,83.61,3.51,3.51,3.27,0.24,0.08,0.08,0.04,0.04,-0.01,0.06,0.04,0.1,0.02,33.96,17.7,14.58,-19.38,9.6,-4.98,3.66,-5.46,-5.94,3.21,4.18,3.48,0.38,-0.92,0.19,1.33,0.52,0.14,0.05,1.05,1.13,0.09,0.12,0.06,0.08,0.13,0.13,0.19,0.65,0.04,0.07,-0.45,0.03,-0.05,0.01,0.46,0.04,0.08,0.08,0.14,0.04,0.04,0.1,-0.01,0.06,0.06,1,0,4,1,0,205.51,4,0.0,59.79
2024-08-19,HIG,111.19,0.14,1,108.24,91.13,102.02,93.83,103.94,2.0,107.89,107.17,101.9,100.34,100.92,98.28,98.6,90.93,82.7,72.41,8,0,6486000000,5201000000,738000000,-145000000,110.46,110.94,1329403,100.23,financial services,1022000000,50,32856645000,4364000000,50,-578000000.0,154000000,4210000000,2.24,6571719394,6678731607,37066645000,112.65,20,94.47,115,18.18,0.92,0.01,112.65,20,101.12,28,11.53,0.87,0.01,111.63,0,104.67,13,6.96,0.94,0.0,112.65,20,0,78.33,242,127,34.32,0.96,0.01,0.16,0.34,0.53,0.63,0.13,5.07,0.01,0.14,49.66,364.83,72.02,0.13,-0.2,36.27,7.13,5.71,4.92,-0.15,0.07,0.09,0.03,0.04,0.02,0.11,0.06,0.15,0.02,13.2,8.04,9.29,-3.91,5.42,-3.86,3.42,-2.93,-2.0,3.23,2.52,3.38,0.15,-0.07,0.14,0.42,0.71,0.06,0.03,1.03,1.13,0.09,0.11,0.1,0.13,0.13,0.22,0.34,0.54,0.06,0.08,-0.22,0.02,-0.01,0.03,0.26,0.03,0.07,0.09,0.19,0.04,0.06,0.15,0.02,0.11,0.09,1,0,4,1,0,114.47,3,0.0,49.48
2024-08-19,TRV,218.95,0.82,1,212.85,200.73,213.84,206.35,210.25,3.37,212.36,212.53,211.12,209.03,217.56,219.56,220.93,215.24,196.53,163.3,8,0,11283000000,11388000000,534000000,-244000000,216.48,217.76,545224,100.55,financial services,9063000000,50,50051970000,8032000000,50,-3156000000.0,729000000,7303000000,2.01,11332576662,11436049673,57354970000,224.76,32,200.21,52,24.55,0.76,0.03,221.38,20,203.21,28,18.17,0.87,0.01,219.11,0,207.32,13,11.79,0.99,0.0,232.75,137,105,182.76,242,190,49.99,0.72,0.06,0.8,0.36,0.49,0.74,0.16,4.44,0.01,0.82,109.04,132.72,29.92,0.15,-0.46,6.33,5.04,5.08,4.38,-0.06,0.04,0.02,0.03,0.01,-0.02,0.02,-0.0,0.03,0.02,26.36,12.84,7.83,-18.53,4.96,-2.87,0.46,-3.68,-4.5,-0.15,-0.4,0.62,0.36,-0.1,0.15,2.37,0.58,-4.04,0.03,1.03,0.99,0.04,0.05,0.01,-0.0,-0.01,0.02,0.11,0.34,0.01,0.02,-0.63,0.01,-0.04,-0.01,0.32,0.03,0.04,0.02,0.06,0.01,-0.0,0.03,-0.02,0.02,0.04,1,0,4,1,0,63.28,4,0.0,30.34
2024-08-16,EXPE,131.04,0.9,1,124.06,127.32,125.06,132.04,126.45,7.52,121.23,126.78,128.69,120.6,113.32,131.12,134.93,142.74,148.76,108.26,8,331000000,3558000000,2991000000,386000000,0,130.93,130.98,1675629,100.05,consumer cyclical,754000000,47,17290465920,6551000000,47,-21000000.0,8362000000,-1811000000,3.18,3534141107,4112549025,15479465920,141.6,31,107.25,79,34.35,0.69,0.08,138.9,30,110.2,11,28.7,0.73,0.06,132.87,1,110.2,11,22.67,0.92,0.01,160.05,190,159,107.25,79,0,52.8,0.45,0.22,0.21,0.54,0.65,0.84,0.38,4.86,0.0,0.9,41.16,45.78,9.42,-0.1,0.0,20.53,5.18,4.35,4.2,-0.66,0.04,0.05,0.06,-0.02,0.01,-0.04,-0.01,-0.06,0.06,39.24,8.52,2.35,-36.89,5.22,2.87,5.91,1.78,0.69,-0.02,-0.78,-1.95,0.3,-0.15,0.3,15.7,-0.55,-296.33,0.08,1.08,0.97,0.02,0.09,0.16,-0.0,-0.03,-0.08,-0.12,0.21,-0.06,0.01,-12.1,0.07,0.06,-0.14,0.32,0.06,0.04,0.05,-0.01,-0.02,-0.01,-0.06,0.01,-0.04,-0.05,0,1,3,0,0,28.16,2,0.0,14.59
2024-08-16,TRV,216.57,0.82,1,211.81,199.49,213.9,206.09,210.06,2.89,212.78,212.21,207.55,209.36,216.97,225.29,220.2,215.24,193.31,162.16,8,0,11283000000,11388000000,534000000,-244000000,216.42,216.68,1599830,99.95,financial services,9063000000,47,49507902000,8032000000,47,-3156000000.0,729000000,7303000000,2.01,11332576662,11436049673,56810902000,224.76,29,200.21,49,24.55,0.67,0.04,224.76,29,202.95,28,21.81,0.62,0.04,218.1,0,206.43,11,11.67,0.87,0.01,232.75,134,105,182.59,241,192,50.16,0.68,0.07,0.8,0.43,0.49,0.89,0.16,4.39,0.0,0.82,107.86,131.28,29.92,0.15,-0.46,6.27,4.99,5.04,4.33,-0.06,0.03,0.01,0.02,0.01,-0.02,0.02,-0.01,0.03,0.01,15.16,8.72,9.02,-6.14,3.6,-5.41,-0.13,-4.58,-3.74,-2.18,-0.73,0.22,0.33,-0.12,0.14,0.68,1.5,-0.94,0.02,1.02,0.98,0.04,0.03,-0.0,-0.04,-0.02,0.01,0.12,0.34,0.03,0.02,0.54,-0.01,-0.04,-0.04,0.33,0.02,0.03,0.01,0.05,0.01,-0.01,0.03,-0.02,0.02,0.04,1,0,4,1,0,62.6,4,-0.0,30.62
2023-08-25,CVX,159.12,0.27,1,159.83,165.21,159.63,165.63,157.95,1.61,160.69,160.91,157.21,155.99,155.34,170.59,156.04,165.94,178.8,157.01,8,0,47216000000,14711000000,6010000000,-2818000000,159.07,158.94,5291847,100.11,energy,11516000000,56,297707632560,21514000000,56,7267000000.0,9292000000,12222000000,2.91,46729042475,52516504580,309929632560,168.95,121,149.74,85,19.21,0.49,0.06,164.25,11,156.22,17,8.03,0.36,0.03,164.25,11,156.7,2,7.55,0.32,0.03,187.81,211,90,149.74,85,0,38.07,0.25,0.18,0.24,0.21,0.5,0.42,0.07,6.31,0.0,0.27,54.6,201.9,32.02,0.04,-0.47,26.91,21.07,6.56,5.67,-0.64,0.01,-0.0,-0.0,0.01,-0.01,-0.05,0.0,-0.04,0.01,-6.28,-3.58,1.91,8.19,1.56,-0.34,1.26,-0.32,-0.3,-2.87,0.62,-1.14,0.11,-0.14,0.11,-4.29,0.22,-1.44,-0.01,0.99,1.02,0.01,0.02,0.02,-0.07,0.02,-0.04,-0.11,0.01,0.02,0.03,-0.27,0.01,0.0,-0.09,0.06,-0.0,0.01,-0.0,-0.04,0.01,0.0,-0.04,-0.01,-0.05,-0.04,0,1,1,0,0,76.12,5,0.0,1.8
2023-08-25,CINF,104.22,0.55,1,104.68,105.41,103.34,107.13,102.32,1.05,106.91,108.57,100.5,99.92,102.88,107.32,108.52,125.17,105.69,97.51,8,0,2605000000,2605000000,534000000,-117000000,104.1,104.22,399600,100.0,financial services,713000000,56,16352118000,867000000,56,0.0,748000000,119000000,0.74,1968875000,2010435000,16471118000,111.73,28,95.01,58,16.72,0.55,0.07,111.73,28,101.99,30,9.74,0.23,0.07,107.77,11,103.02,3,4.75,0.25,0.03,130.66,197,169,95.01,58,0,35.65,0.26,0.25,0.27,0.27,0.47,0.58,0.05,6.28,0.0,0.55,140.86,254.55,40.55,0.01,-0.22,23.1,6.32,6.32,8.13,1.86,0.02,0.01,-0.0,0.02,-0.01,-0.04,0.01,-0.02,0.01,-10.76,-8.7,3.72,14.48,2.15,-1.57,0.45,-1.64,-1.7,-0.77,-0.86,-3.49,0.16,-0.13,0.16,-3.89,0.73,-1.58,-0.03,0.97,0.96,0.04,0.04,0.01,-0.03,-0.04,-0.17,-0.01,0.07,0.06,0.07,-0.09,0.01,-0.03,-0.04,0.28,-0.0,0.02,0.01,-0.03,0.02,0.01,-0.02,-0.01,-0.04,-0.04,0,1,2,0,0,106.21,2,0.0,7.35
2023-08-25,CPNG,18.49,0.42,0,18.56,16.74,16.93,16.63,17.71,0.35,18.65,18.35,17.52,16.79,15.96,15.76,13.67,15.47,16.71,17.54,8,0,5837889000,1523788000,145000000,0,18.45,18.44,6880983,100.27,consumer cyclical,293635000,56,32992871869,2723531000,56,-5241000.0,4473193000,-1749662000,0.05,5688972186,5927808758,31243209869,19.99,16,15.08,87,4.9,0.69,0.08,19.99,16,16.83,29,3.16,0.53,0.08,19.35,11,17.72,7,1.64,0.47,0.05,19.99,16,0,12.66,163,76,7.32,0.8,0.08,0.05,0.43,0.67,0.64,0.08,5.65,0.0,0.42,366.83,876.8,155.14,-0.05,0.0,106.4,20.5,5.35,5.57,-0.09,0.04,0.09,-0.0,0.05,0.05,0.06,0.1,0.12,0.02,-0.64,0.28,0.97,1.61,0.85,-0.12,0.84,-0.06,-0.01,0.68,0.96,0.5,0.04,-0.09,0.04,-1.66,0.14,0.24,-0.01,0.99,1.35,0.06,0.1,0.16,0.17,0.35,0.2,0.11,0.05,0.06,0.11,-0.42,0.04,0.05,0.01,-0.12,-0.0,0.04,0.09,0.11,0.05,0.1,0.12,0.05,0.06,0.02,1,0,3,0,0,342.63,3,0.0,5.82
2023-08-25,TRV,161.64,0.46,1,162.7,176.49,173.44,178.4,169.82,1.87,166.01,169.32,170.89,175.23,180.52,175.65,168.36,185.47,188.59,161.21,8,0,10098000000,10098000000,-14000000,-232000000,162.28,161.93,810400,99.82,financial services,223000000,56,36983232000,8031000000,56,-2827000000.0,605000000,7426000000,2.05,10032211118,10403919535,44409232000,185.77,98,159.63,3,26.14,0.08,0.15,176.52,28,159.63,3,16.89,0.12,0.09,167.03,9,159.63,3,7.4,0.27,0.03,194.51,212,114,159.63,3,0,34.88,0.06,0.2,0.02,0.48,0.75,0.65,0.22,3.66,-0.0,0.46,78.74,171.14,46.73,0.2,16.57,199.14,4.4,4.4,3.55,-0.11,-0.05,-0.07,-0.01,-0.04,-0.02,-0.05,-0.06,-0.09,0.01,-17.48,-15.36,-9.25,8.23,-6.8,2.45,-6.29,1.48,0.5,-3.5,-1.34,-3.97,0.67,-0.16,0.67,0.89,0.36,0.8,-0.03,0.97,0.96,-0.05,-0.08,-0.1,-0.08,-0.04,-0.13,-0.14,0.0,-0.03,-0.05,-0.46,-0.02,-0.03,0.03,0.15,-0.01,-0.05,-0.07,-0.09,-0.04,-0.06,-0.09,-0.02,-0.05,-0.03,0,1,0,0,1,113.36,4,-0.0,0.92
