Ticker,name,lower_hotel_name
A,Agilent Technologies,agilent-technologies
AAL,American Airlines Group,american-airlines-group
AAP,Advance Auto Parts,advance-auto-parts
AAPL,Apple,apple
ABBV,AbbVie,abbvie
ABT,Abbott Laboratories,abbott-laboratories
ACN,Accenture plc,accenture-plc
ADBE,Adobe,adobe
ADI,Analog Devices,analog-devices
ADM,Archer-Daniels-Midland Company,archer-daniels-midland
ADP,Automatic Data Processing,automatic-data-processing
ADSK,Autodesk,autodesk
AEE,Ameren,ameren
AEP,American Electric Power Company,american-electric-power
AFL,Aflac Incorporated,aflac-incorporated
AIG,American International Group,american
AIV,Apartment Investment and Management Company,apartment-investment-and-management
AIZ,Assurant,assurant
AJG,Arthur J. Gallagher & Co,arthur-j.-gallagher-&-co
AKAM,Akamai Technologies,akamai-technologies
ALB,Albemarle,albemarle
ALGN,Align Technology,align-technology
ALK,Alaska Air Group,alaska-air
ALL,The Allstate,the-allstate
ALLE,Allegion plc,allegion-plc
AMAT,Applied Materials,applied-materials
AMCR,Amcor plc,amcor-plc
AMD,Advanced Micro Devices,amd
AME,AMETEK,ametek
AMGN,Amgen,amgen
AMP,Ameriprise Financial,ameriprise-financial
AMT,American Tower,american-tower
AMZN,Amazon.com,amazon
ANET,Arista Networks,arista-networks
ANSS,ANSYS,ansys
AON,Aon plc,aon-plc
AOS,A. O. Smith,a.-o.-smith
APA,APA,apa
APD,Air Products and Chemicals,air-products-and-chemicals
APH,Amphenol,amphenol
APTV,Aptiv PLC,aptiv
ARE,Alexandria Real Estate Equities,alexandria-real-estate-equities
ATO,Atmos Energy,atmos-energy
AVB,AvalonBay Communities,avalonbay-communities
AVGO,Broadcom,broadcom
AVY,Avery Dennison,avery-dennison
AWK,American Water Works Company,american-water-works
AXP,American Express Company,american-express
AZO,AutoZone,autozone
BA,The Boeing Company,the-boeing
BAC,Bank of America,bank-of-america
BAX,Baxter International,baxter
BBY,Best Buy Co,best-buy-co
BDX,"Becton, Dickinson and Company","becton,-dickinson-and"
BEN,Franklin Resources,franklin-resources
BIIB,Biogen,biogen
BIO,Bio-Rad Laboratories,bio-rad-laboratories
BK,The Bank of New York Mellon,bank-of-new-york-mellon
BKNG,Booking Holdings,booking-holdings
BKR,Baker Hughes Company,baker-hughes
BLK,BlackRock,blackrock
BMY,Bristol-Myers Squibb Company,bristol-myers-squibb
BR,Broadridge Financial Solutions,broadridge-financial-solutions
BSX,Boston Scientific,boston-scientific
BWA,BorgWarner,borgwarner
BXP,BXP,bxp
LRCX,Lam Research,lam-research
NXPI,NXP Semiconductors N.V,nxp-semiconductors
MBLY,Mobileye Global,mobileye-global
CRWD,CrowdStrike Holdings,crowdstrike-holdings
SNPS,Synopsys,synopsys
CDNS,Cadence Design Systems,cadence-design-systems
MCHP,Microchip Technology Incorporated,microchip-technology
FTNT,Fortinet,fortinet
ADSK,Autodesk,autodesk
MNST,Monster Beverage,monster-beverage
DELL,Dell Technologies,dell
ERIE,Erie Indemnity Company,erie-indemnity
KKR,KKR & Co,kkr-&-co
